field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.8533346652984619,-0.07626379744097767
gross_actual_interchange_mw,0.8759973140166133,0.5752347111701965,-0.30076260284641676
total_gen,0.99832719588513,0.9865751266479492,-0.011752069237180751
metered_load_mw,0.9962878493933236,0.9897814989089966,-0.006506350484327017
total_losses,0.9334742413917716,0.8562299609184265,-0.07724428047334508
congestion_price_da,0.6602494811248918,0.573253333568573,-0.08699614755631879
congestion_price_rt,0.6702083206524372,0.60892254114151,-0.061285779510927174
marginal_loss_price_da,0.8816090434068973,0.7892458438873291,-0.09236319951956817
total_lmp_da,0.99047564583207,0.9831022620201111,-0.007373383811958956
da_as_total_mw_primary_reserve,0.953601669814596,0.9522039890289307,-0.0013976807856653783
da_as_total_mw_synchronized_reserve,0.920000100798808,0.9188448786735535,-0.0011552221252545403
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.8616104125976562,-0.05253330522366739
