field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-0.8513569831848145,-1.0995469391984989,True
gross_actual_interchange_mw,0.2460934792895835,0.214704692363739,-0.031388786925844486,True
total_gen,0.9906449538219424,0.9613377824425697,-0.029307171379372665,True
metered_load_mw,0.9762308832723112,0.9583464898169041,-0.017884393455407155,True
total_losses,0.6540839836602339,0.6871216893196106,0.03303770565937669,True
congestion_price_da,0.0475838272605031,0.27050918340682983,0.22292535614632675,True
congestion_price_rt,0.4561738508473963,0.4860497713088989,0.029875920461502614,True
marginal_loss_price_da,0.4407231017762543,0.47557783126831055,0.03485472949205626,True
total_lmp_da,0.9299314144617218,0.760863184928894,-0.16906822953282774,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.962171345949173,-0.013056473008588587,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9176786467432976,-0.024164464302349198,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.3344290256500244,-0.12247501235447966,True
