confidential_field,probe_r2,probe_mse,best_epoch,baseline_gcn_r2,gat_loss_mask_r2,probe_minus_baseline_gcn_r2,probe_minus_gat_loss_mask_r2
total_gen,0.9906449538219423,0.004279308952391148,144,0.9154055118560791,0.9379225708544254,0.07523944196586319,0.052722382967516856
metered_load_mw,0.9762308832723112,0.01027797069400549,63,0.9566894620656967,0.9602358527481556,0.019541421206614507,0.01599503052415563
da_as_total_mw_primary_reserve,0.9752278189577617,0.03425189480185509,45,0.9751069191843271,0.973496600985527,0.00012089977343454628,0.0017312179722346333
da_as_total_mw_synchronized_reserve,0.9418431110456467,0.048981405794620514,92,0.9082280918955803,0.9402981363236904,0.03361501915006637,0.0015449747219562493
total_lmp_da,0.9299314144617218,0.0304314773529768,179,0.8842832744121552,0.9234190583229065,0.04564814004956663,0.0065123561388152895
total_losses,0.6540839836602339,0.3036831319332123,179,0.4482267498970032,0.4671440124511719,0.20585723376323073,0.18693997120906203
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.3897430896759033,49,0.3870720863342285,0.29204219579696655,0.06983195167027556,0.16486184220753752
congestion_price_rt,0.45617385084739637,0.8887786269187927,31,0.47654861211776733,0.4630134701728821,-0.020374761270370967,-0.006839619325485713
marginal_loss_price_da,0.4407231017762543,0.30631300806999207,194,0.4198299050331116,0.501074343919754,0.020893196743142717,-0.06035124214349974
net_actual_interchange_mw,0.24818995601368454,0.5845991373062134,226,-0.9609616994857788,-1.8833212852478027,1.2091516554994635,2.1315112412614874
gross_actual_interchange_mw,0.24609347928958358,0.44017550349235535,12,0.004897058010101318,-0.41205132007598877,0.24119642127948226,0.6581447993655724
congestion_price_da,0.04758382726050314,1.6142498254776,3,0.19901782274246216,0.21370857954025269,-0.15143399548195902,-0.16612475227974954
