confidential_field,model_r2,probe_r2,gap
total_gen,0.98688835,0.99832719588513,-0.011438847
metered_load_mw,0.9857261,0.9962878493933236,-0.010561705
da_as_total_mw_primary_reserve,0.9508024,0.953601669814596,-0.0027992725
total_lmp_da,0.94630325,0.99047564583207,-0.044172406
da_as_total_mw_synchronized_reserve,0.9169976,0.920000100798808,-0.0030024648
da_as_total_mw_thirty_minutes_reserve,0.8615848,0.9141437178213236,-0.05255896
total_losses,0.86126554,0.9334742413917716,-0.0722087
net_actual_interchange_mw,0.8504016,0.9295984627394396,-0.07919687
gross_actual_interchange_mw,0.7897279,0.8759973140166133,-0.08626938
marginal_loss_price_da,0.78484565,0.8816090434068973,-0.09676337
congestion_price_rt,0.6609441,0.6702083206524372,-0.009264231
congestion_price_da,0.6119402,0.6602494811248918,-0.048309267
