target_idx,target_field,source_idx,source_field,source_type,dominant_metric,dominant_alpha,alpha_pearson,corr_pearson,alpha_spearman,corr_spearman,alpha_kendall,corr_kendall,alpha_nmi,corr_nmi,alpha_distance_corr,corr_distance_corr
44,marginal_loss_price_da,1,gen_fuel_gas_mw,general,nmi,0.9286800622940063,0.015970474109053612,0.4097398817539215,0.01666630618274212,0.3844110071659088,0.021973691880702972,0.25554513931274414,0.9286800622940063,0.10150006413459778,0.016709426417946815,0.38292890787124634
44,marginal_loss_price_da,40,marginal_loss_price_rt,general,kendall,0.912391722202301,0.02072422206401825,0.5781142115592957,0.02586623840034008,0.47878533601760864,0.912391722202301,0.31387776136398315,0.018923284485936165,0.6297935843467712,0.022094540297985077,0.5456192493438721
44,marginal_loss_price_da,39,total_lmp_rt,general,kendall,0.9104928374290466,0.016404850408434868,0.54356449842453,0.023811209946870804,0.4195014536380768,0.9104928374290466,0.3087744116783142,0.03042583167552948,0.370233952999115,0.018865253776311874,0.48846110701560974
44,marginal_loss_price_da,10,gen_fuel_coal_pct,general,nmi,0.9092801809310913,0.023166587576270103,0.2917526364326477,0.019927268847823143,0.35635876655578613,0.027716610580682755,0.2324541211128235,0.9092801809310913,0.11286816000938416,0.019909365102648735,0.35741814970970154
44,marginal_loss_price_da,38,system_energy_price_da,general,pearson,0.889704167842865,0.889704167842865,0.7955979108810425,0.027537446469068527,0.5130783915519714,0.02265208587050438,0.3624999523162842,0.020850861445069313,0.2824428975582123,0.03925536200404167,0.6914796233177185
44,marginal_loss_price_da,0,gen_fuel_coal_mw,general,nmi,0.8757261633872986,0.028293421491980553,0.47171086072921753,0.029077468439936638,0.4555988013744354,0.038801997900009155,0.3235938847064972,0.8757261633872986,0.16973279416561127,0.028100943192839622,0.48543232679367065
44,marginal_loss_price_da,30,da_as_mcp_synchronized_reserve,general,nmi,0.8670744299888611,0.020566117018461227,0.5920321941375732,0.03994598984718323,0.27965790033340454,0.04773231968283653,0.2407563477754593,0.8670744299888611,0.18530087172985077,0.024681096896529198,0.4777064323425293
44,marginal_loss_price_da,29,da_as_mcp_primary_reserve,general,nmi,0.8203042149543762,0.031861208379268646,0.47172242403030396,0.047673549503088,0.2558930218219757,0.061313021928071976,0.17693354189395905,0.8203042149543762,0.10499952733516693,0.03884796425700188,0.34862491488456726
44,marginal_loss_price_da,15,gen_fuel_oil_pct,general,nmi,0.7962295413017273,0.03573146089911461,0.599084734916687,0.05464834347367287,0.3033123016357422,0.0699329823255539,0.20631642639636993,0.7962295413017273,0.10043882578611374,0.043457649648189545,0.43698346614837646
44,marginal_loss_price_da,23,total_pjm_loc_credit,general,nmi,0.7099921107292175,0.03800298646092415,0.3600904941558838,0.06923910975456238,0.19353637099266052,0.13065773248672485,0.13600899279117584,0.7099921107292175,0.11613940447568893,0.05210806056857109,0.2531641125679016
44,marginal_loss_price_da,16,gen_fuel_other_renewables_pct,general,nmi,0.6829439997673035,0.07848671823740005,0.35104086995124817,0.07751674950122833,0.36475786566734314,0.08423227816820145,0.29288923740386963,0.6829439997673035,0.06471805274486542,0.07682028412818909,0.3728719651699066
44,marginal_loss_price_da,14,gen_fuel_nuclear_pct,general,distance_corr,0.6645835638046265,0.1519940197467804,0.4522075653076172,0.11442022770643234,0.4446195363998413,0.04190082848072052,0.3265244662761688,0.02710138075053692,0.13082827627658844,0.6645835638046265,0.4725033938884735
44,marginal_loss_price_da,19,forecast_load_mw_latest_available,general,distance_corr,0.5724637508392334,0.14328783750534058,0.5196714401245117,0.13894565403461456,0.5051891207695007,0.08480723202228546,0.36064621806144714,0.06049549579620361,0.19219805300235748,0.5724637508392334,0.5456079244613647
44,marginal_loss_price_da,2,gen_fuel_hydro_mw,general,nmi,0.4789293110370636,0.17139571905136108,0.3390713334083557,0.11121439933776855,0.3789052665233612,0.12888094782829285,0.2676372230052948,0.4789293110370636,0.07376343756914139,0.10957954078912735,0.3938261866569519
44,marginal_loss_price_da,20,forecast_load_mw_day_ahead,general,distance_corr,0.379803866147995,0.2611876130104065,0.5302786827087402,0.21472468972206116,0.5239863991737366,0.08787451684474945,0.3592972159385681,0.056409284472465515,0.14377231895923615,0.379803866147995,0.535950779914856
44,marginal_loss_price_da,5,gen_fuel_oil_mw,general,nmi,0.3033236861228943,0.10237226635217667,0.6496634483337402,0.16443540155887604,0.33836448192596436,0.29914984107017517,0.23845748603343964,0.3033236861228943,0.1077670231461525,0.13071879744529724,0.49981385469436646
