target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,16,2.564135789871216,0.9248164970532771
gross_actual_interchange_mw,17,2.595228433609009,0.9160017684702514
total_gen,28,3.029045581817627,0.9090215119054511
metered_load_mw,27,3.0136606693267822,0.9143840523212424
total_losses,19,2.806391716003418,0.9531159368084092
congestion_price_da,8,1.9986772537231445,0.9611605874279845
congestion_price_rt,11,2.207688808441162,0.9206777433047626
marginal_loss_price_da,21,2.9185123443603516,0.9586108836638113
total_lmp_da,32,3.2805402278900146,0.9465638236427348
da_as_total_mw_primary_reserve,11,2.0764081478118896,0.8659294554547823
da_as_total_mw_synchronized_reserve,8,1.805633306503296,0.8683260723187489
da_as_total_mw_thirty_minutes_reserve,18,2.7589542865753174,0.9545326752651005
