field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.8610995411872864,-0.0684989215521532
gross_actual_interchange_mw,0.8759973140166133,0.7847180366516113,-0.09127927736500197
total_gen,0.99832719588513,0.9857127666473389,-0.012614429237791103
metered_load_mw,0.9962878493933236,0.9857911467552185,-0.010496702638105093
total_losses,0.9334742413917716,0.8616193532943726,-0.07185488809739904
congestion_price_da,0.6602494811248918,0.6745675802230835,0.014318099098191706
congestion_price_rt,0.6702083206524372,0.6637684106826782,-0.006439909969758961
marginal_loss_price_da,0.8816090434068973,0.8169032335281372,-0.06470580987876007
total_lmp_da,0.99047564583207,0.97777259349823,-0.01270305233384006
da_as_total_mw_primary_reserve,0.953601669814596,0.9511841535568237,-0.002417516257772312
da_as_total_mw_synchronized_reserve,0.920000100798808,0.917810320854187,-0.0021897799446209953
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.8690724968910217,-0.045071220930301914
