target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,7,1.8501373529434204,0.9507825188339821
gross_actual_interchange_mw,10,2.1730728149414062,0.943753532303019
total_gen,25,2.945108652114868,0.9149494458163692
metered_load_mw,26,2.9540646076202393,0.906684186041378
total_losses,17,2.6558303833007812,0.9373915977321067
congestion_price_da,5,1.5453824996948242,0.960200134317453
congestion_price_rt,10,2.1439907550811768,0.9311233541833412
marginal_loss_price_da,20,2.7105698585510254,0.904810447341924
total_lmp_da,31,3.0847361087799072,0.8982957492534973
da_as_total_mw_primary_reserve,9,2.044468402862549,0.9304776689423059
da_as_total_mw_synchronized_reserve,7,1.7463209629058838,0.8974314480828806
da_as_total_mw_thirty_minutes_reserve,18,2.621091842651367,0.9068355430372735
