,gameA,gameB
非单调幅度_max(v̄−v),0.09135016798973083,0.09449028968811035
非单调集合占比(v̄−v>0.01),0.07315572102864583,0.08544921875
"(a) M1=a+max(0,maxI) 最大偏差",2.9802322387695312e-08,2.9802322387695312e-08
(c) φ=Σm/|U| 最大偏差,7.840132432157532e-10,1.034265062482831e-09
(d) 包络在|A|≤K+1上的违例率(全K最大),0.0,0.0
(e) syn≤minM 违例数,1.0,0.0
(f) 关键性⇔小MUS 不一致率[v],0.001984126984126984,0.0
(f) 关键性⇔小MUS 不一致率[v̄],0.0,0.0
(g) φ≤M^(p−1) 违例数[v],0.0,0.0
(g) a/p≤φ 违例数[v̄],0.0,0.0
(h) M^(K) 对 K 单调违例数,0.0,0.0
