conf,field,single,shapley,pos_dividend_share,neg_dividend_share,M1,M1_best_partner,pair_interaction_with_partner
metered_load_mw,gen_fuel_wind_mw,0.05807045102119446,0.034660438027157264,14.115439511618813,-14.138849524612853,0.7539342641830444,gen_fuel_wind_pct,0.69586381316185
metered_load_mw,gen_fuel_wind_pct,0.1483941674232483,0.050384571596373176,15.167704742328317,-15.265714338155194,0.8442579507827759,gen_fuel_wind_mw,0.69586381316185
metered_load_mw,forecast_load_mw_latest_available,0.990852952003479,0.22265373647745557,14.410919924120318,-15.179119139646339,0.990852952003479,∅,0.0
metered_load_mw,forecast_load_mw_day_ahead,0.9820152521133423,0.21638303932477754,14.487693564520931,-15.253325777309495,0.9820152521133423,∅,0.0
metered_load_mw,gen_fuel_coal_mw,0.750097930431366,0.1468220404131867,13.8922730029061,-14.49554889292428,0.750097930431366,∅,0.0
total_gen,gen_fuel_wind_mw,0.0633327066898346,0.03762851984056409,11.43254302761153,-11.4582472144608,0.7662829160690308,gen_fuel_wind_pct,0.7029502093791962
total_gen,gen_fuel_wind_pct,0.1611255407333374,0.05421510325873552,12.468388183109187,-12.57529862058379,0.864075779914856,gen_fuel_wind_mw,0.7029502093791962
total_gen,forecast_load_mw_latest_available,0.9742168188095093,0.21891211192578955,12.349738826433489,-13.105043533317211,0.9742168188095093,∅,0.0
total_gen,forecast_load_mw_day_ahead,0.9682215452194214,0.21436429292795553,12.283356840701277,-13.037214092992743,0.9682215452194214,∅,0.0
total_gen,gen_fuel_coal_mw,0.7633551955223083,0.15413372768532663,12.143467198725872,-12.752688666562854,0.7633551955223083,∅,0.0
total_lmp_da,gen_fuel_wind_mw,0.014257967472076416,0.014540221408474273,47.73914889035039,-47.73886663641399,0.3607494831085205,gen_fuel_wind_pct,0.3464915156364441
total_lmp_da,gen_fuel_wind_pct,0.03472599387168884,0.017900415390352725,43.377514969052214,-43.39434054753356,0.38121750950813293,gen_fuel_wind_mw,0.3464915156364441
total_lmp_da,forecast_load_mw_latest_available,0.5627515316009521,0.11189819924158732,45.23244635089677,-45.68329968325614,0.5979206562042236,da_as_as_req_mw_primary_reserve,0.0351690948009491
total_lmp_da,forecast_load_mw_day_ahead,0.5837428569793701,0.11987953180767068,41.008057845674415,-41.471921170846116,0.6188713312149048,da_as_as_req_mw_primary_reserve,0.03512844443321228
total_lmp_da,gen_fuel_coal_mw,0.367904394865036,0.07519683932939476,41.92627315381401,-42.21898070934965,0.4309828281402588,da_as_as_req_mw_primary_reserve,0.06307843327522278
