game,conf,field,a,M1,M2,M3,Mtop,kappa_exact,kappa_90,kappa_eps
gameA,net_actual_interchange_mw,gen_fuel_wind_mw,0.019957304000854492,0.10045668482780457,0.4086120128631592,0.4086120128631592,0.4086120128631592,2,2,2
gameA,net_actual_interchange_mw,gen_fuel_wind_pct,0.03819581866264343,0.1186951994895935,0.41654443740844727,0.41654443740844727,0.41654443740844727,2,2,2
gameA,net_actual_interchange_mw,forecast_load_mw_latest_available,0.0680135190486908,0.22128179669380188,0.3693188428878784,0.3693188428878784,0.3693188428878784,2,2,2
gameA,net_actual_interchange_mw,forecast_load_mw_day_ahead,0.07086953520774841,0.22413909435272217,0.30091193318367004,0.30091193318367004,0.30091193318367004,2,2,2
gameA,net_actual_interchange_mw,da_as_ss_mw_primary_reserve,0.008481621742248535,0.035627901554107666,0.06343427300453186,0.07415682077407837,0.07626965641975403,4,3,3
gameA,net_actual_interchange_mw,da_as_ss_mw_synchronized_reserve,0.008293598890304565,0.03324472904205322,0.06298002600669861,0.07296189665794373,0.07969135046005249,4,3,3
gameA,net_actual_interchange_mw,system_energy_price_da,0.10330778360366821,0.25657734274864197,0.29243865609169006,0.3283440172672272,0.3283440172672272,3,3,3
gameA,net_actual_interchange_mw,total_lmp_rt,0.03934094309806824,0.1237020492553711,0.18362867832183838,0.21085873246192932,0.21085873246192932,3,3,3
gameA,net_actual_interchange_mw,marginal_loss_price_rt,0.04425331950187683,0.16073006391525269,0.2330838143825531,0.2623444199562073,0.2623444199562073,3,3,3
gameA,net_actual_interchange_mw,gen_fuel_coal_mw,0.18296322226524353,0.296173095703125,0.31104350090026855,0.31972557306289673,0.31972557306289673,3,2,2
gameA,net_actual_interchange_mw,gen_fuel_gas_pct,0.07204458117485046,0.12261313199996948,0.15546855330467224,0.15546855330467224,0.15546855330467224,2,2,2
gameA,net_actual_interchange_mw,gross_sched_interchange_mw,0.23465517163276672,0.2981715202331543,0.30114758014678955,0.30161160230636597,0.30261555314064026,4,1,1
gameA,net_actual_interchange_mw,gross_inadv_interchange_mw,0.09744980931282043,0.15838080644607544,0.19600194692611694,0.20750963687896729,0.20750963687896729,3,3,3
gameA,net_actual_interchange_mw,da_as_as_req_mw_primary_reserve,0.2863340973854065,0.2967056632041931,0.29952409863471985,0.29952409863471985,0.29952409863471985,2,2,1
gameA,gross_actual_interchange_mw,gen_fuel_wind_mw,0.0012901127338409424,0.1541076898574829,0.1543113887310028,0.15908190608024597,0.15908190608024597,3,1,1
gameA,gross_actual_interchange_mw,gen_fuel_wind_pct,0.01071465015411377,0.16353222727775574,0.1638355553150177,0.167350172996521,0.167350172996521,3,1,1
gameA,gross_actual_interchange_mw,forecast_load_mw_latest_available,0.15746799111366272,0.18098866939544678,0.18194252252578735,0.18194252252578735,0.18194252252578735,2,1,1
gameA,gross_actual_interchange_mw,forecast_load_mw_day_ahead,0.1498773694038391,0.16738763451576233,0.1681748330593109,0.17070266604423523,0.17070266604423523,3,3,1
gameA,gross_actual_interchange_mw,da_as_ss_mw_primary_reserve,0.0371345579624176,0.04067471623420715,0.047321438789367676,0.05694705247879028,0.05694705247879028,3,3,2
gameA,gross_actual_interchange_mw,da_as_ss_mw_synchronized_reserve,0.037551045417785645,0.03984630107879639,0.046512216329574585,0.05422133207321167,0.05546766519546509,4,3,2
gameA,gross_actual_interchange_mw,system_energy_price_da,0.07798045873641968,0.08577367663383484,0.08577367663383484,0.08577367663383484,0.08577367663383484,1,1,0
gameA,gross_actual_interchange_mw,total_lmp_rt,0.08359688520431519,0.09640064835548401,0.09640064835548401,0.09640064835548401,0.09640064835548401,1,1,1
gameA,gross_actual_interchange_mw,marginal_loss_price_rt,0.11846524477005005,0.12920880317687988,0.12920880317687988,0.12920880317687988,0.12920880317687988,1,1,1
gameA,gross_actual_interchange_mw,gen_fuel_coal_mw,0.1412130892276764,0.1620047688484192,0.16877031326293945,0.17097309231758118,0.17097309231758118,3,2,1
gameA,gross_actual_interchange_mw,gen_fuel_gas_pct,0.08033284544944763,0.12866303324699402,0.12866303324699402,0.12866303324699402,0.12866303324699402,1,1,1
gameA,gross_actual_interchange_mw,gross_sched_interchange_mw,0.23611322045326233,0.251030832529068,0.251030832529068,0.251030832529068,0.251030832529068,1,1,1
gameA,gross_actual_interchange_mw,gross_inadv_interchange_mw,0.6263879537582397,0.634739875793457,0.634739875793457,0.634739875793457,0.634739875793457,1,1,0
gameA,gross_actual_interchange_mw,da_as_as_req_mw_primary_reserve,0.07984885573387146,0.08525872230529785,0.08525872230529785,0.08525872230529785,0.08525872230529785,1,1,0
gameA,total_gen,gen_fuel_wind_mw,0.0633327066898346,0.7662829160690308,0.7662829160690308,0.7662829160690308,0.7662829160690308,1,1,1
gameA,total_gen,gen_fuel_wind_pct,0.1611255407333374,0.864075779914856,0.864075779914856,0.864075779914856,0.864075779914856,1,1,1
gameA,total_gen,forecast_load_mw_latest_available,0.9742168188095093,0.9742168188095093,0.9742168188095093,0.9742168188095093,0.9742168188095093,0,0,0
gameA,total_gen,forecast_load_mw_day_ahead,0.9682215452194214,0.9682215452194214,0.9682215452194214,0.9682215452194214,0.9682215452194214,0,0,0
gameA,total_gen,da_as_ss_mw_primary_reserve,0.048148781061172485,0.06441149115562439,0.08527752757072449,0.09143242239952087,0.09143242239952087,3,3,2
gameA,total_gen,da_as_ss_mw_synchronized_reserve,0.047583043575286865,0.0627506673336029,0.08234509825706482,0.09164324402809143,0.09164324402809143,3,3,2
gameA,total_gen,system_energy_price_da,0.38578397035598755,0.4184853434562683,0.4184853434562683,0.4184853434562683,0.4184853434562683,1,1,1
gameA,total_gen,total_lmp_rt,0.28145989775657654,0.3154757618904114,0.3154757618904114,0.3154757618904114,0.3154757618904114,1,1,1
