game,est,K,true_M,est_M,est_bias,est_MAE,cert_lower,cert_over_true,cert_gap_max,cert_within_002
gameA,L1x,0,0.16644337329836117,0.16863266407814254,0.0021892907797813506,0.008038453515923936,0.16644338,0.9999999840130515,0.0,1.0
gameA,L1x,1,0.24120247630136354,0.24269937054209767,0.001496894240734123,0.017021149485593752,0.2340693,0.9704266123540038,0.07295230031013489,0.8630952380952381
gameA,L1x,2,0.25920568495279267,0.29916890599720536,0.03996322104441268,0.05030440583470322,0.2313656,0.8925946690448671,0.36629533767700195,0.6666666666666666
gameA,L1x,3,0.2636730390645209,0.35968135443649124,0.09600831537197034,0.10238883089983747,0.1911771,0.7250536359878087,0.5531853437423706,0.30357142857142855
gameA,L0ensx,0,0.16644337329836117,0.1679643155754699,0.0015209422771087183,0.01177412309057434,0.16644338,0.9999999840130515,0.0,1.0
gameA,L0ensx,1,0.24120247630136354,0.24989859074620263,0.008696114444839103,0.024420923309489376,0.23029491,0.9547783767704878,0.1165352463722229,0.7916666666666666
gameA,L0ensx,2,0.25920568495279267,0.29625007629926714,0.03704439134647449,0.04581555772927545,0.23553225,0.9086693492826884,0.16696015000343323,0.6369047619047619
gameA,L0ensx,3,0.2636730390645209,0.3362862851160268,0.07261324605150592,0.08093035524888408,0.2228697,0.8452502090670255,0.4101290702819824,0.4583333333333333
gameA,L0,0,0.16644337329836117,0.1698190991668352,0.003375725868474027,0.009544731665907117,0.16644338,0.9999999840130515,0.0,1.0
gameA,L0,1,0.24120247630136354,0.24114815912963378,-5.431717172974632e-05,0.016572552333985056,0.23442507,0.9719015803499282,0.08058789372444153,0.8630952380952381
gameA,L0,2,0.25920568495279267,0.277303594208899,0.018097909256106333,0.03584683979196208,0.23152402,0.893205769695216,0.18959945440292358,0.5654761904761905
gameA,L0,3,0.2636730390645209,0.3699493019930309,0.10627626292851,0.12091277009763178,0.16850555,0.6390700556721727,0.9271121025085449,0.30357142857142855
gameA,direct,0,0.16644337329836117,0.14638029642048336,-0.020063076877877825,0.02052233705208415,0.16644338,0.9999999840130515,0.0,1.0
gameA,direct,1,0.24120247630136354,0.18050152382680348,-0.06070095247456005,0.06205527537635395,0.19930021,0.8262776738056733,0.6901722550392151,0.7202380952380952
gameA,direct,2,0.25920568495279267,0.18865679878564107,-0.07054888616715159,0.0729329502653508,0.1975584,0.7621684804139873,0.6896331608295441,0.48214285714285715
gameA,direct,3,0.2636730390645209,0.1908469515896979,-0.072826087474823,0.07494034511702401,0.19582132,0.7426671632757134,0.6896331608295441,0.3630952380952381
gameB,L1x,0,0.1608400113052792,0.1667148272261127,0.005874815920833498,0.010026386699691001,0.16084002,1.0000000617639067,0.0,1.0
gameB,L1x,1,0.19177846879594856,0.19245493423659354,0.0006764654406449861,0.012831866107363667,0.18237045,0.95094330404538,0.10781431198120117,0.8611111111111112
gameB,L1x,2,0.20021102494663662,0.2043763346090499,0.004165309662413266,0.013029543398362067,0.18332437,0.9156556865209143,0.10238206386566162,0.7083333333333334
gameB,L1x,3,0.20325343931714693,0.21987528961876202,0.016621850301615067,0.022663652353609603,0.17375427,0.8548650827564455,0.1605527698993683,0.4722222222222222
gameB,L0ensx,0,0.1608400113052792,0.16476165417306118,0.003921642867781985,0.01641467848680299,0.16084002,1.0000000617639067,0.0,1.0
gameB,L0ensx,1,0.19177846879594856,0.20014164777886537,0.008363178982916806,0.021495690569281578,0.17563912,0.9158438230246874,0.12240269780158997,0.7708333333333334
gameB,L0ensx,2,0.20021102494663662,0.23429269485899973,0.03408166991236309,0.03723598413893746,0.16818507,0.840039029663487,0.2706128656864166,0.5208333333333334
gameB,L0ensx,3,0.20325343931714693,0.2722547172258298,0.06900127790868282,0.07108171097934246,0.16156766,0.7949073926627415,0.2634478807449341,0.3888888888888889
gameB,L0,0,0.1608400113052792,0.16651643513071374,0.00567642382543454,0.013840530916316615,0.16084002,1.0000000617639067,0.0,1.0
gameB,L0,1,0.19177846879594856,0.19414631652438807,0.0023678477284395033,0.01654590787883434,0.17681968,0.9219996552867059,0.12240269780158997,0.7708333333333334
gameB,L0,2,0.20021102494663662,0.23788719285382992,0.0376761679071933,0.04359856524711682,0.16610917,0.8296704831595471,0.2706128656864166,0.5208333333333334
gameB,L0,3,0.20325343931714693,0.24931271338007516,0.04605927406292823,0.04998626182269719,0.16203363,0.7971999780622451,0.200951486825943,0.4375
gameB,direct,0,0.1608400113052792,0.13647130752603212,-0.02436870377924707,0.02471749194794231,0.16084002,1.0000000617639067,0.0,1.0
gameB,direct,1,0.19177846879594856,0.16524523165490893,-0.026533237141039636,0.028641012600726552,0.17694835,0.9226705677236596,0.188709557056427,0.7777777777777778
gameB,direct,2,0.20021102494663662,0.1715025065673722,-0.028708518379264407,0.030925281759765413,0.1788271,0.8931930715483462,0.1467679738998413,0.625
gameB,direct,3,0.20325343931714693,0.17347391901744735,-0.02977952029969957,0.032093212422397405,0.17724317,0.872030408639642,0.14232176542282104,0.5625
