game,score,tau,漏判_|A|≤2,误拒_|A|≤2,漏判_|A|≤4,误拒_|A|≤4,漏判_全部,误拒_全部,AUC,上界违例率,平均松弛
gameA,Shapley 和,0.5,1.0,0.0,0.9543025120256547,0.0,0.6076042073545003,0.0,0.9897443657266324,,
gameA,Shapley 和,0.7,1.0,0.0,1.0,0.0,0.8866313667387239,0.0,0.9719270676047427,,
gameA,Shapley 和,0.9,1.0,0.0,1.0,0.0,0.9882356292371675,0.0,0.9638516924273578,0.9971260859834381,-0.23931136999794236
gameA,单字段和 Σa,0.5,0.06956521739130435,0.045105566218809984,0.07268840192410475,0.11998426435877262,0.03138775737961051,0.24158337716991057,0.9656954830566105,,
gameA,单字段和 Σa,0.7,0.030303030303030304,0.0392156862745098,0.030964797913950456,0.17491771804717499,0.011488669208909183,0.3568627794212894,0.9312154600912288,,
gameA,单字段和 Σa,0.9,0.02857142857142857,0.022462562396006656,0.04772234273318872,0.12980769230769232,0.007634022674186749,0.3773855966313704,0.9065635029833602,0.15811105007222934,0.5339185403845905
gameA,加性预算 ΣM^(1),0.5,0.0,0.1948176583493282,0.00040085515766969537,0.4368607395751377,2.092517158640701e-05,0.7170662057563688,0.9709052656916911,,
gameA,加性预算 ΣM^(1),0.7,0.0,0.13554987212276215,0.0,0.40736423477783873,0.0,0.7326745671923959,0.9346747100353822,,
gameA,加性预算 ΣM^(1),0.9,0.0,0.0740432612312812,0.0,0.3035172064777328,0.0,0.6783144467149669,0.8984243834518373,6.103888176768602e-05,1.0572642038899518
gameA,逐阶预算 U^(1),0.5,0.0,0.05950095969289827,0.0013361838588989846,0.2619984264358773,0.00018135148708219408,0.5786240324641166,0.9743152055900198,,
gameA,逐阶预算 U^(1),0.7,0.0,0.041773231031543054,0.0,0.2631651124520022,0.0,0.6316277767080365,0.9394839094903416,,
gameA,逐阶预算 U^(1),0.9,0.0,0.024958402662229616,0.0,0.18901821862348178,0.0,0.591231655210849,0.9149205169013722,0.0013326822519278113,0.823173329935538
gameA,加性预算 ΣM^(2),0.5,0.0,0.2533589251439539,0.0,0.5508457907159717,0.0,0.8394266175697002,0.9681878993634104,,
gameA,加性预算 ΣM^(2),0.7,0.0,0.1526001705029838,0.0,0.49732583653318707,0.0,0.818177044129746,0.9304965592494086,,
gameA,加性预算 ΣM^(2),0.9,0.0,0.07487520798668885,0.0,0.3701923076923077,0.0,0.7706235680227878,0.8963890613538249,0.0,1.1832943567200258
gameA,逐阶预算 U^(2),0.5,0.0,0.05950095969289827,0.0,0.28973249409913454,0.0,0.6775005636131359,0.9743154441647821,,
gameA,逐阶预算 U^(2),0.7,0.0,0.041773231031543054,0.0,0.27859297860669224,0.0,0.6937175066080837,0.9376344904831879,,
gameA,逐阶预算 U^(2),0.9,0.0,0.024958402662229616,0.0,0.19148532388663966,0.0,0.6477490866307511,0.9134273849482711,1.5259720441921504e-05,0.8796896647129306
gameA,加性预算 ΣM^(3),0.5,0.0,0.2629558541266795,0.0,0.5900865460267506,0.0,0.8723604118133313,0.9679515600401754,,
gameA,加性预算 ΣM^(3),0.7,0.0,0.15515771526001704,0.0,0.5143307734503566,0.0,0.8433052672116512,0.9304893488049857,,
gameA,加性预算 ΣM^(3),0.9,0.0,0.07487520798668885,0.0,0.3822747975708502,0.0,0.7952442875719858,0.8961905939572049,0.0,1.2145677442782195
gameA,逐阶预算 U^(3),0.5,0.0,0.05950095969289827,0.0,0.29051927616050355,0.0,0.6960058615766138,0.9737290172870668,,
