confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.9857911467552185,0.014814265072345734,True
total_gen,0.9857127666473389,0.015038595534861088,True
total_lmp_da,0.97777259349823,0.025385670363903046,True
da_as_total_mw_primary_reserve,0.9511841535568237,0.05134555697441101,True
da_as_total_mw_synchronized_reserve,0.917810320854187,0.08475836366415024,True
da_as_total_mw_thirty_minutes_reserve,0.8690724968910217,0.13607287406921387,True
total_losses,0.8616193532943726,0.13802339136600494,True
net_actual_interchange_mw,0.8610995411872864,0.14094436168670654,True
marginal_loss_price_da,0.8169032335281372,0.17982660233974457,True
gross_actual_interchange_mw,0.7847180366516113,0.22402116656303406,True
congestion_price_da,0.6745675802230835,0.35300999879837036,True
congestion_price_rt,0.6637684106826782,0.3757193386554718,True
