口径,目标,候选数,最强单字段,τ0.5_单看安全组合危险,τ0.5_危险小组合,τ0.7_单看安全组合危险,τ0.7_危险小组合
现实口径,PJM 发电总出力,24,0.9742300510406494,22/24,179,18/24,39
再剔除两个系统负荷预测,PJM 发电总出力,22,0.41533318161964417,22/22,177,18/22,37
现实口径,CAISO 实际负荷,35,0.8247627019882202,30/35,542,32/35,335
再剔除分区负荷预测、日前分区负荷计划与日前发电/进出口计划,CAISO 实际负荷,26,0.419752836227417,26/26,312,24/26,100
