rank,field,sensitivity,masked_loss,loss_increase
1,da_as_nsr_mw_primary_reserve,0.2191283007496617,0.5438962578773499,0.0977608859539032
2,system_energy_price_da,0.1886851804955023,0.5303145051002502,0.08417913317680359
3,marginal_loss_price_rt,0.07387190185799841,0.47909224033355713,0.032956868410110474
4,gross_inadv_interchange_mw,0.0645824775837303,0.47494789958000183,0.028812527656555176
5,gen_fuel_nuclear_mw,0.06234490877945819,0.4739496409893036,0.027814269065856934
6,total_lmp_rt,0.059677475058315665,0.4727596044540405,0.026624232530593872
7,gen_fuel_coal_mw,0.04566541519306279,0.46650832891464233,0.02037295699119568
8,da_as_as_req_mw_thirty_minutes_reserve,0.04553134543577314,0.46644851565361023,0.020313143730163574
9,da_as_as_req_mw_primary_reserve,0.04360714047377594,0.46559005975723267,0.01945468783378601
10,da_as_as_req_mw_synchronized_reserve,0.04186884290317738,0.46481454372406006,0.018679171800613403
11,gen_fuel_other_renewables_mw,0.03216598677646002,0.4604857563972473,0.01435038447380066
12,gen_fuel_other_renewables_pct,0.026698920006982048,0.45804670453071594,0.011911332607269287
13,gen_fuel_nuclear_pct,0.02444592015441202,0.45704156160354614,0.010906189680099487
14,gen_fuel_oil_mw,0.023597746906625926,0.4566631615161896,0.01052778959274292
15,forecast_load_mw_latest_available,0.01858238900550501,0.4544256329536438,0.008290261030197144
16,gen_fuel_wind_mw,0.015627911065591374,0.4531075358390808,0.006972163915634155
17,gen_fuel_coal_pct,0.015081144267676183,0.4528636038303375,0.006728231906890869
18,gen_fuel_oil_pct,0.014936653542704825,0.45279914140701294,0.006663769483566284
19,total_pjm_reg_purchases,0.008993629114687358,0.45014774799346924,0.004012376070022583
20,gen_fuel_gas_mw,0.008978131265314564,0.4501408338546753,0.004005461931228638
21,forecast_load_mw_day_ahead,0.007803501164576539,0.44961678981781006,0.0034814178943634033
22,total_pjm_rmpcp_cr,0.006355387463268594,0.4489707350730896,0.0028353631496429443
23,gen_fuel_multiple_fuels_mw,0.003196965841737966,0.447561651468277,0.0014262795448303223
24,da_as_mcp_synchronized_reserve,0.0023953529431451374,0.44720402359962463,0.0010686516761779785
25,da_as_mcp_primary_reserve,0.0017189920599574385,0.4469022750854492,0.0007669031620025635
26,total_pjm_loc_credit,0.0011955388371763212,0.44666874408721924,0.000533372163772583
27,da_as_ss_mw_primary_reserve,0.0010036861501131042,0.4465831518173218,0.00044777989387512207
28,gen_fuel_wind_pct,0.0007227876302312006,0.4464578330516815,0.0003224611282348633
29,da_as_ss_mw_synchronized_reserve,0.00040902298150699085,0.4463178515434265,0.0001824796199798584
30,da_as_ss_mw_thirty_minutes_reserve,0.00022525322450458486,0.44623586535453796,0.0001004934310913086
31,rmpcp,-4.422231157237105e-05,0.446115642786026,-1.9729137420654297e-05
32,total_pjm_assigned_reg,-4.849758036486614e-05,0.4461137354373932,-2.1636486053466797e-05
33,net_inadv_interchange_mw,-0.0005437607495454688,0.4458927810192108,-0.00024259090423583984
34,gen_fuel_gas_pct,-0.0011600674664135886,0.44561782479286194,-0.0005175471305847168
35,gen_fuel_solar_mw,-0.0013279385675939034,0.44554293155670166,-0.0005924403667449951
36,gen_fuel_storage_mw,-0.0027047755220019694,0.44492867588996887,-0.0012066960334777832
37,gen_fuel_hydro_mw,-0.0031139989067336085,0.44474610686302185,-0.0013892650604248047
38,gen_fuel_solar_pct,-0.003316806970077594,0.4446556270122528,-0.0014797449111938477
39,rmccp,-0.004358770136098506,0.44419077038764954,-0.0019446015357971191
40,total_pjm_self_sched_reg,-0.004778080483137438,0.444003701210022,-0.0021316707134246826
41,gen_fuel_hydro_pct,-0.004791774703488399,0.4439975917339325,-0.00213778018951416
42,total_pjm_rmccp_cr,-0.005626387333073299,0.44362524151802063,-0.0025101304054260254
43,gen_fuel_multiple_fuels_pct,-0.01807870890088918,0.43806982040405273,-0.008065551519393921
44,gross_sched_interchange_mw,-0.024783933593318663,0.43507838249206543,-0.011056989431381226
