,dam_load_forecast__mw__sce_tac,dam_schedule__mw__load__tac_ecntr,dam_schedule__mw__generation__caiso_totals,dam_load_forecast__mw__pge_tac,dam_schedule__mw__load__tac_north,dam_load_forecast__mw__sdge_tac,dam_schedule__mw__load__tac_south,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,dam_as_requirement__mw__as_caiso__regulation_down__minimum,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,dam_schedule__mw__export__caiso_totals
dam_load_forecast__mw__sce_tac,0.8247627,0.028629184,0.06581581,0.24213761,0.19693053,0.38520908,0.55389744,0.4571573,0.73352045,0.49306566,0.7381955,0.49735194
dam_schedule__mw__load__tac_ecntr,0.0078552365,0.80398875,0.055939257,0.23101997,0.18280578,0.36478806,0.54436827,0.45672077,0.7189815,0.48870814,0.729521,0.47954637
dam_schedule__mw__generation__caiso_totals,0.03686601,0.047763407,0.7958129,0.23448843,0.20233923,0.33701473,0.5107574,0.4546628,0.7092822,0.45248002,0.70558316,0.47580838
dam_load_forecast__mw__pge_tac,0.034447372,0.044103682,0.055747986,0.61707246,0.054522634,0.21433783,0.3978778,0.36609298,0.58335054,0.43943447,0.61420727,0.3875066
dam_schedule__mw__load__tac_north,0.016776443,0.023425639,0.051134944,0.08205879,0.6446086,0.25819856,0.4518795,0.3910886,0.6023707,0.42796868,0.6212746,0.38269752
dam_load_forecast__mw__sdge_tac,0.05651951,0.056872427,0.037274957,0.09333849,0.10966307,0.49607313,0.24705082,0.3177876,0.47258377,0.35149127,0.49262905,0.32696116
dam_schedule__mw__load__tac_south,0.045060873,0.056305647,0.030870616,0.096731484,0.12319702,0.06690383,0.31592613,0.26199007,0.27811772,0.31086642,0.3005752,0.24555087
dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,0.052147448,0.07248485,0.07860273,0.16877335,0.16623282,0.2414673,0.36581677,0.41975284,0.52402544,0.30544102,0.49997985,0.33925015
dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,0.04938513,0.055620134,0.0540967,0.10690546,0.09838945,0.11713803,0.102818966,0.24489999,0.14062738,0.18068838,0.15937531,0.19548023
dam_as_requirement__mw__as_caiso__regulation_down__minimum,0.06987345,0.08628988,0.058237612,0.2239325,0.18493056,0.25698864,0.39651078,0.28725868,0.4416315,0.4015705,0.4172908,0.22345304
dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.048445046,0.06054449,0.04478252,0.13214707,0.11167824,0.1315682,0.11966133,0.21523929,0.1537602,0.15073258,0.13501227,0.18905139
dam_schedule__mw__export__caiso_totals,0.021466196,0.024434566,0.02887243,0.119311094,0.08696586,0.17976499,0.2785017,0.26837426,0.4037298,0.1707595,0.40291607,0.34887695
