数据,目标,τ,字段数,单字段即危险,组合危险字段,危险小组合,仍暴露比例
RTS-GMLC,线路潮流_C35,0.85,23,0,3,1,1.0
RTS-GMLC,线路潮流_C35,0.9,23,0,0,0,
NEM,机组出力_BW01,0.3,30,6,24,322,0.9813664596273292
NEM,机组出力_BW01,0.35,30,4,26,327,0.9877675840978594
NEM,机组出力_BW01,0.4,30,3,27,268,0.9888059701492538
NEM,机组出力_BW01,0.45,30,2,28,144,0.9861111111111112
NEM,机组出力_BW01,0.5,30,0,30,266,1.0
NEM,机组出力_BW01,0.55,30,0,23,49,1.0
NEM,机组出力_BW01,0.6,30,0,18,26,1.0
NEM,机组出力_BW01,0.65,30,0,3,1,1.0
NEM,机组出力_BW01,0.7,30,0,0,0,
NEM,机组出力_BW01,0.75,30,0,0,0,
NEM,机组出力_BW01,0.8,30,0,0,0,
NEM,机组出力_BW01,0.85,30,0,0,0,
NEM,机组出力_BW01,0.9,30,0,0,0,
NEM,机组出力_TUMUT3,0.3,30,3,26,61,0.9508196721311475
NEM,机组出力_TUMUT3,0.35,30,1,29,189,0.9947089947089947
NEM,机组出力_TUMUT3,0.4,30,0,29,74,1.0
NEM,机组出力_TUMUT3,0.45,30,0,18,31,1.0
NEM,机组出力_TUMUT3,0.5,30,0,22,23,1.0
NEM,机组出力_TUMUT3,0.55,30,0,0,0,
NEM,机组出力_TUMUT3,0.6,30,0,0,0,
NEM,机组出力_TUMUT3,0.65,30,0,0,0,
NEM,机组出力_TUMUT3,0.7,30,0,0,0,
NEM,机组出力_TUMUT3,0.75,30,0,0,0,
NEM,机组出力_TUMUT3,0.8,30,0,0,0,
NEM,机组出力_TUMUT3,0.85,30,0,0,0,
NEM,机组出力_TUMUT3,0.9,30,0,0,0,
NEM,机组出力_PPCCGT,0.3,30,3,27,628,0.9952229299363057
NEM,机组出力_PPCCGT,0.35,30,3,27,473,0.9936575052854123
NEM,机组出力_PPCCGT,0.4,30,3,26,239,0.9874476987447699
NEM,机组出力_PPCCGT,0.45,30,2,28,204,0.9901960784313726
NEM,机组出力_PPCCGT,0.5,30,2,28,215,0.9906976744186047
NEM,机组出力_PPCCGT,0.55,30,0,30,250,1.0
NEM,机组出力_PPCCGT,0.6,30,0,30,147,1.0
NEM,机组出力_PPCCGT,0.65,30,0,12,13,1.0
NEM,机组出力_PPCCGT,0.7,30,0,10,8,1.0
NEM,机组出力_PPCCGT,0.75,30,0,5,3,1.0
NEM,机组出力_PPCCGT,0.8,30,0,3,1,1.0
NEM,机组出力_PPCCGT,0.85,30,0,0,0,
NEM,机组出力_PPCCGT,0.9,30,0,0,0,
PJM-load,metered_load_mw,0.3,22,7,15,98,0.9285714285714286
PJM-load,metered_load_mw,0.35,22,4,18,130,0.9692307692307692
PJM-load,metered_load_mw,0.4,22,3,19,147,0.9795918367346939
PJM-load,metered_load_mw,0.45,22,2,20,171,0.9883040935672515
PJM-load,metered_load_mw,0.5,22,0,22,237,1.0
PJM-load,metered_load_mw,0.55,22,0,22,173,1.0
PJM-load,metered_load_mw,0.6,22,0,22,106,1.0
PJM-load,metered_load_mw,0.65,22,0,21,95,1.0
PJM-load,metered_load_mw,0.7,22,0,14,44,1.0
PJM-load,metered_load_mw,0.75,22,0,13,24,1.0
PJM-load,metered_load_mw,0.8,22,0,3,1,1.0
PJM-load,metered_load_mw,0.85,22,0,0,0,
PJM-load,metered_load_mw,0.9,22,0,0,0,
PJM-gen/ic,total_gen,0.3,24,7,17,115,0.9391304347826087
PJM-gen/ic,total_gen,0.35,24,5,19,172,0.9709302325581395
PJM-gen/ic,total_gen,0.4,24,4,20,209,0.9808612440191388
PJM-gen/ic,total_gen,0.45,24,2,22,241,0.991701244813278
PJM-gen/ic,total_gen,0.5,24,2,22,179,0.9888268156424581
PJM-gen/ic,total_gen,0.55,24,2,22,161,0.9875776397515528
PJM-gen/ic,total_gen,0.6,24,2,22,107,0.9813084112149533
PJM-gen/ic,total_gen,0.65,24,2,22,89,0.9775280898876404
PJM-gen/ic,total_gen,0.7,24,2,18,39,0.9487179487179487
PJM-gen/ic,total_gen,0.75,24,2,8,16,0.875
PJM-gen/ic,total_gen,0.8,24,2,3,3,0.3333333333333333
PJM-gen/ic,total_gen,0.85,24,2,0,2,0.0
PJM-gen/ic,total_gen,0.9,24,2,0,2,0.0
PJM-gen/ic,net_actual_interchange_mw,0.3,24,1,23,242,0.9958677685950413
PJM-gen/ic,net_actual_interchange_mw,0.35,24,1,23,327,0.9969418960244648
PJM-gen/ic,net_actual_interchange_mw,0.4,24,1,22,163,0.9938650306748467
PJM-gen/ic,net_actual_interchange_mw,0.45,24,0,24,147,1.0
PJM-gen/ic,net_actual_interchange_mw,0.5,24,0,24,102,1.0
PJM-gen/ic,net_actual_interchange_mw,0.55,24,0,16,33,1.0
PJM-gen/ic,net_actual_interchange_mw,0.6,24,0,8,6,1.0
PJM-gen/ic,net_actual_interchange_mw,0.65,24,0,15,13,1.0
PJM-gen/ic,net_actual_interchange_mw,0.7,24,0,3,1,1.0
PJM-gen/ic,net_actual_interchange_mw,0.75,24,0,0,0,
PJM-gen/ic,net_actual_interchange_mw,0.8,24,0,0,0,
PJM-gen/ic,net_actual_interchange_mw,0.85,24,0,0,0,
PJM-gen/ic,net_actual_interchange_mw,0.9,24,0,0,0,
CAISO-load,actual_load__mw__ca_iso_tac,0.3,35,11,24,466,0.9763948497854077
CAISO-load,actual_load__mw__ca_iso_tac,0.35,35,8,27,538,0.9851301115241635
CAISO-load,actual_load__mw__ca_iso_tac,0.4,35,8,27,479,0.9832985386221295
CAISO-load,actual_load__mw__ca_iso_tac,0.45,35,6,29,566,0.9893992932862191
CAISO-load,actual_load__mw__ca_iso_tac,0.5,35,5,30,542,0.9907749077490775
CAISO-load,actual_load__mw__ca_iso_tac,0.55,35,5,30,539,0.9907235621521335
CAISO-load,actual_load__mw__ca_iso_tac,0.6,35,5,30,386,0.9870466321243523
CAISO-load,actual_load__mw__ca_iso_tac,0.65,35,3,32,385,0.9922077922077922
CAISO-load,actual_load__mw__ca_iso_tac,0.7,35,3,32,335,0.991044776119403
CAISO-load,actual_load__mw__ca_iso_tac,0.75,35,3,32,422,0.9928909952606635
CAISO-load,actual_load__mw__ca_iso_tac,0.8,35,2,33,257,0.9922178988326849
CAISO-load,actual_load__mw__ca_iso_tac,0.85,35,0,35,445,1.0
CAISO-load,actual_load__mw__ca_iso_tac,0.9,35,0,32,287,1.0
