数据,版本,目标,M2排序Spearman,M2最大绝对差,关键集合Jaccard_τ05,关键集合Jaccard_τ07,V绝对差均值
RTS-GMLC,种子 1,机组出力_223_STEAM_3,0.9960474308300397,0.019095182418823242,1.0,1.0,0.0016025062650442123
RTS-GMLC,种子 1,机组出力_221_CC_1,0.9990118577075099,0.01416921615600586,1.0,1.0,0.001312840380705893
RTS-GMLC,种子 1,线路潮流_C35,0.9970355731225298,0.016590774059295654,1.0,1.0,0.0022076175082474947
RTS-GMLC,种子 2,机组出力_223_STEAM_3,0.9990118577075099,0.012930333614349365,1.0,1.0,0.0016697103856131434
RTS-GMLC,种子 2,机组出力_221_CC_1,0.9970355731225298,0.009855926036834717,1.0,1.0,0.0013827873626723886
RTS-GMLC,种子 2,线路潮流_C35,0.9930830039525691,0.007463991641998291,1.0,1.0,0.0022706445306539536
RTS-GMLC,划分 43,机组出力_223_STEAM_3,0.991106719367589,0.027738988399505615,1.0,0.9411764705882353,0.002984220627695322
RTS-GMLC,划分 43,机组出力_221_CC_1,0.9960474308300397,0.03240090608596802,1.0,1.0,0.004548968747258186
RTS-GMLC,划分 43,线路潮流_C35,0.983201581027668,0.031016170978546143,1.0,0.9545454545454546,0.0072852023877203465
RTS-GMLC,划分 44,机组出力_223_STEAM_3,0.9930830039525691,0.02418079972267151,1.0,0.9411764705882353,0.0030220639891922474
RTS-GMLC,划分 44,机组出力_221_CC_1,0.9950592885375494,0.023144900798797607,1.0,0.95,0.003865697653964162
RTS-GMLC,划分 44,线路潮流_C35,0.9930830039525691,0.03011387586593628,1.0,1.0,0.008082222193479538
PJM 实际负荷,种子 1,metered_load_mw,0.9887069452286844,0.018450170755386353,1.0,0.9285714285714286,0.006139309611171484
PJM 实际负荷,种子 2,metered_load_mw,0.9841897233201583,0.020534589886665344,1.0,1.0,0.006375244818627834
