数据,版本,目标,M0均值,M1均值,M2均值,M3均值,M2/M3,M1/M2,τ0.5_单字段即危险,τ0.5_组合危险字段,τ0.5_危险小组合,τ0.5_单字段定级后仍暴露,τ0.5_最少扣留,τ0.7_单字段即危险,τ0.7_组合危险字段,τ0.7_危险小组合,τ0.7_单字段定级后仍暴露,τ0.7_最少扣留
RTS-GMLC,主结果（种子 0、划分 42）,机组出力_223_STEAM_3,0.49648189544677734,0.5664129853248596,0.5828737020492554,0.5834600329399109,0.9989950060844421,0.9717593789100647,10,13,60,50,15,10,6,16,6,11
RTS-GMLC,主结果（种子 0、划分 42）,机组出力_221_CC_1,0.5051451325416565,0.5765467286109924,0.6117682456970215,0.6130388379096985,0.9979273080825806,0.9424267411231995,10,13,52,42,15,10,9,34,24,13
RTS-GMLC,主结果（种子 0、划分 42）,线路潮流_C35,0.2913843095302582,0.44453567266464233,0.4590718746185303,0.46138498187065125,0.9949865937232971,0.9683356881141663,4,19,123,119,13,0,21,82,82,7
RTS-GMLC,种子 1,机组出力_223_STEAM_3,0.49713197350502014,0.5627519488334656,0.584564745426178,0.5851713418960571,0.9989634156227112,0.9626854658126831,10,13,59,49,15,10,6,16,6,11
RTS-GMLC,种子 1,机组出力_221_CC_1,0.5065365433692932,0.5762948393821716,0.6114636063575745,0.6132431626319885,0.9970980286598206,0.9424843192100525,10,13,52,42,15,10,9,33,23,13
RTS-GMLC,种子 1,线路潮流_C35,0.29071006178855896,0.4458291530609131,0.460686057806015,0.4630275070667267,0.9949432015419006,0.9677504301071167,4,19,124,120,13,0,21,82,82,7
RTS-GMLC,种子 2,机组出力_223_STEAM_3,0.49712392687797546,0.5616893172264099,0.5824974775314331,0.5826611518859863,0.9997191429138184,0.9642776250839233,10,13,64,54,15,10,6,16,6,11
RTS-GMLC,种子 2,机组出力_221_CC_1,0.505807638168335,0.5759462714195251,0.6123598217964172,0.6141829490661621,0.997031569480896,0.9405357241630554,10,13,51,41,15,10,9,33,23,13
RTS-GMLC,种子 2,线路潮流_C35,0.29016053676605225,0.44650205969810486,0.46017220616340637,0.4635203778743744,0.99277663230896,0.9702934622764587,4,19,129,125,13,0,21,81,81,7
RTS-GMLC,划分 43,机组出力_223_STEAM_3,0.49770984053611755,0.5692530274391174,0.5855186581611633,0.5857674479484558,0.9995752573013306,0.9722201228141785,10,13,59,49,15,10,7,19,9,12
RTS-GMLC,划分 43,机组出力_221_CC_1,0.5044112205505371,0.5867084264755249,0.621385395526886,0.6241691708564758,0.9955400824546814,0.9441941380500793,10,13,52,42,15,10,9,36,26,13
RTS-GMLC,划分 43,线路潮流_C35,0.2893039584159851,0.45524922013282776,0.4679522216320038,0.4709877371788025,0.9935550093650818,0.9728540182113647,2,21,165,163,13,0,22,88,88,7
RTS-GMLC,划分 44,机组出力_223_STEAM_3,0.49876466393470764,0.5623496174812317,0.5801339149475098,0.5801339149475098,1.0,0.969344437122345,10,13,70,60,15,10,7,19,9,12
RTS-GMLC,划分 44,机组出力_221_CC_1,0.5063786506652832,0.5845441222190857,0.6181118488311768,0.6220812201499939,0.9936192035675049,0.9456931352615356,11,12,37,26,15,10,10,41,31,13
RTS-GMLC,划分 44,线路潮流_C35,0.2940695285797119,0.44399717450141907,0.4574182629585266,0.4589609205722809,0.996638834476471,0.9706590175628662,6,17,93,87,13,0,21,79,79,7
PJM 实际负荷,主结果（种子 0、划分 42）,metered_load_mw,0.20125077664852142,0.2557174563407898,0.27075788378715515,0.2788032293319702,0.9711431860923767,0.9444506764411926,0,22,237,237,9,0,14,44,44,3
PJM 实际负荷,种子 1,metered_load_mw,0.20029300451278687,0.25487473607063293,0.27385446429252625,0.28429973125457764,0.963259756565094,0.9306941032409668,0,22,225,225,9,0,13,44,44,3
PJM 实际负荷,种子 2,metered_load_mw,0.20189137756824493,0.2596934139728546,0.2713801860809326,0.2777632176876068,0.9770199060440063,0.9569358229637146,0,22,229,229,9,0,14,45,45,3
