数据,目标,τ,规模4MUS,K2命中集大小,K2命中集后残余规模4MUS,K3命中集大小
RTS-GMLC,机组出力_223_STEAM_3,0.5,44,15,12,16
RTS-GMLC,机组出力_223_STEAM_3,0.7,39,11,30,13
RTS-GMLC,机组出力_221_CC_1,0.5,13,15,9,16
RTS-GMLC,机组出力_221_CC_1,0.7,34,13,15,14
RTS-GMLC,线路潮流_C35,0.5,17,13,0,13
RTS-GMLC,线路潮流_C35,0.7,424,7,60,8
NEM,机组出力_BW01,0.5,1235,4,62,6
NEM,机组出力_BW01,0.7,0,0,0,0
NEM,机组出力_TUMUT3,0.5,117,1,60,3
NEM,机组出力_TUMUT3,0.7,0,0,0,0
NEM,机组出力_PPCCGT,0.5,1507,6,232,8
NEM,机组出力_PPCCGT,0.7,43,1,0,1
PJM-load,metered_load_mw,0.5,371,9,39,10
PJM-load,metered_load_mw,0.7,312,3,28,5
PJM-gen/ic,total_gen,0.5,517,11,20,13
PJM-gen/ic,total_gen,0.7,263,5,70,7
PJM-gen/ic,net_actual_interchange_mw,0.5,571,3,93,7
PJM-gen/ic,net_actual_interchange_mw,0.7,47,1,0,1
CAISO-load,actual_load__mw__ca_iso_tac,0.5,1724,17,201,21
CAISO-load,actual_load__mw__ca_iso_tac,0.7,1469,10,300,14
