feature,gate,pearson,spearman,kendall,nmi,distance_corr
da_as_as_req_mw_primary_reserve,0.7441604,0.72105205,0.7305365,0.5608855,0.893907,0.7309421
da_as_as_req_mw_synchronized_reserve,0.74305314,0.71729517,0.7385272,0.5525603,0.8818108,0.73085016
da_as_as_req_mw_thirty_minutes_reserve,0.73073906,0.71844333,0.73699135,0.5856798,0.70715755,0.7129511
da_as_nsr_mw_primary_reserve,0.70714164,0.48427826,0.47015554,0.3637272,1.0,0.5348073
da_as_mcp_primary_reserve,0.6162707,0.16609094,0.24239163,0.18920036,0.62554514,0.22377191
gen_fuel_nuclear_mw,0.5807547,0.22797962,0.19932365,0.13629413,0.2527788,0.24364199
gen_fuel_gas_pct,0.57479316,0.290721,0.31035948,0.17002712,0.05824872,0.23639207
gen_fuel_gas_mw,0.5722599,0.21256702,0.23476148,0.20356055,0.08215673,0.27688897
da_as_mcp_synchronized_reserve,0.57190907,0.097937234,0.019985564,0.019464947,0.5283639,0.11039969
forecast_load_mw_day_ahead,0.57002485,0.23987639,0.24115798,0.16993907,0.07370706,0.25511768
gen_fuel_wind_pct,0.5650523,0.2161525,0.23052447,0.16863544,0.04501265,0.25445914
gen_fuel_other_renewables_pct,0.5622593,0.17068797,0.19207232,0.13519433,0.14177358,0.18112737
gen_fuel_wind_mw,0.5580934,0.19458668,0.19965398,0.14989334,0.043005463,0.21793845
gen_fuel_coal_mw,0.547136,0.10866717,0.08579566,0.06723055,0.114515424,0.21775374
da_as_ss_mw_synchronized_reserve,0.546757,0.12871557,0.149017,0.06928082,0.12712118,0.10926228
total_pjm_rmpcp_cr,0.5465196,0.09919461,0.11290191,0.07906484,0.14880602,0.12735592
gross_sched_interchange_mw,0.5463547,0.1406018,0.16091014,0.11759989,0.04659197,0.15159985
system_energy_price_da,0.54563385,0.05045125,0.08362436,0.11336489,0.13408884,0.17729232
da_as_ss_mw_thirty_minutes_reserve,0.5441346,0.11561201,0.12703954,0.069104105,0.12948607,0.09911961
da_as_ss_mw_primary_reserve,0.542478,0.11420699,0.12278154,0.05171193,0.13553752,0.08725121
rmccp,0.5419781,0.012870642,0.09150145,0.04446153,0.2228482,0.0857605
total_pjm_rmccp_cr,0.5414653,0.025216356,0.09063913,0.07939419,0.17977844,0.095703825
gen_fuel_nuclear_pct,0.5410359,0.09735607,0.10593497,0.082117766,0.06917421,0.16654076
rmpcp,0.5400695,0.0631938,0.1193535,0.07141225,0.10983816,0.1216211
forecast_load_mw_latest_available,0.5388049,0.11123335,0.11204535,0.05726497,0.07336526,0.13091771
gen_fuel_oil_mw,0.5386048,0.06865759,0.009282166,0.025173577,0.18736458,0.131406
gen_fuel_hydro_mw,0.5352417,0.050032616,0.05549809,0.03709019,0.10419677,0.1647594
gen_fuel_hydro_pct,0.5347314,0.007412484,0.069737874,0.06578859,0.10928335,0.14797352
total_pjm_loc_credit,0.5346436,0.037022807,0.023188056,0.05607864,0.15766922,0.10018913
marginal_loss_price_rt,0.5339621,0.043349054,0.04636674,0.02928238,0.13956857,0.115032926
total_pjm_reg_purchases,0.53345203,0.0800164,0.054747112,0.065702654,0.074716315,0.123319484
total_lmp_rt,0.53263205,0.011806683,0.10530625,0.060215082,0.083268374,0.12080238
gen_fuel_coal_pct,0.5321942,0.01902623,0.037858814,0.046711758,0.08758058,0.18004744
gen_fuel_oil_pct,0.5306501,0.04179351,0.028733136,0.025562068,0.12570964,0.10665968
gen_fuel_solar_mw,0.5285171,0.03548711,0.05430217,0.031302672,0.116256006,0.062930726
gen_fuel_multiple_fuels_pct,0.52721006,0.055907242,0.033703696,0.05014562,0.06774393,0.096377656
net_inadv_interchange_mw,0.5260793,0.09710167,0.11551355,0.031073572,0.019248297,0.050463688
gen_fuel_solar_pct,0.5243937,0.057553537,0.06802343,0.023784975,0.05338294,0.06558541
gen_fuel_multiple_fuels_mw,0.52318794,0.037496846,0.04349378,0.007147177,0.08223626,0.064012416
gen_fuel_storage_mw,0.52317566,0.076979,0.029984193,0.01841134,0.043945495,0.08433682
total_pjm_assigned_reg,0.52092284,0.06234289,0.05320631,0.01251443,0.026967717,0.07238115
gross_inadv_interchange_mw,0.520154,0.043477736,0.054582294,0.013104479,0.03235743,0.06889446
total_pjm_self_sched_reg,0.5200089,0.03653979,0.019131334,0.01425525,0.03406168,0.10439003
gen_fuel_other_renewables_mw,0.51918864,0.0012149314,0.029617772,0.01416566,0.056841068,0.08193168
