target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.200105,0.20003295,0.19971566,0.2001912,0.1999552
gross_actual_interchange_mw,0.20003118,0.2000073,0.20000191,0.1999476,0.20001206
total_gen,0.19610067,0.19335838,0.20522411,0.2110812,0.19423561
metered_load_mw,0.18694143,0.18336356,0.20384547,0.2404803,0.18536927
total_losses,0.19501139,0.18455954,0.17881577,0.25322077,0.18839253
congestion_price_da,0.19608599,0.1987548,0.20165254,0.2031101,0.20039651
congestion_price_rt,0.175406,0.22850747,0.19152391,0.12947129,0.2750913
marginal_loss_price_da,0.2246588,0.1951344,0.19243728,0.17483513,0.21293436
total_lmp_da,0.2467586,0.1748622,0.20056204,0.1851711,0.192646
da_as_total_mw_primary_reserve,0.21989813,0.19061366,0.17794915,0.2126207,0.19891843
da_as_total_mw_synchronized_reserve,0.18553996,0.1772925,0.18368344,0.2639633,0.18952088
da_as_total_mw_thirty_minutes_reserve,0.21245462,0.20029084,0.19571564,0.19115438,0.20038462
