target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,9,0.2000977247953415,0.1999349743127823,0.19974789023399353,0.2002127766609192,0.2000066488981247
gross_actual_interchange_mw,11,0.17271041870117188,0.16295097768306732,0.15070392191410065,0.3547894358634949,0.15884527564048767
total_gen,28,0.1830107718706131,0.186331644654274,0.16870810091495514,0.2830817997455597,0.17886771261692047
metered_load_mw,27,0.17404788732528687,0.17484216392040253,0.18142709136009216,0.2924981713294983,0.17718464136123657
total_losses,19,0.18735215067863464,0.11428824067115784,0.11392615735530853,0.4711766541004181,0.11325685679912567
congestion_price_da,8,0.15745629370212555,0.1476289927959442,0.16460655629634857,0.25791728496551514,0.27239087224006653
congestion_price_rt,11,0.15340395271778107,0.16594302654266357,0.16458159685134888,0.3247309625148773,0.19134049117565155
marginal_loss_price_da,21,0.1700359582901001,0.17645514011383057,0.18336917459964752,0.2841331958770752,0.1860065758228302
total_lmp_da,32,0.16162747144699097,0.17294882237911224,0.21105720102787018,0.3033280670642853,0.15103846788406372
da_as_total_mw_primary_reserve,11,0.2703281342983246,0.1358717381954193,0.3290541470050812,0.13868141174316406,0.12606452405452728
da_as_total_mw_synchronized_reserve,8,0.17292870581150055,0.17159222066402435,0.1896343231201172,0.297619104385376,0.16822561621665955
da_as_total_mw_thirty_minutes_reserve,18,0.1578492820262909,0.1953299641609192,0.20215891301631927,0.28951162099838257,0.1551501750946045
