confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.98827446,0.9962878493933236,-0.008013368
total_gen,0.98758626,0.99832719588513,-0.010740936
total_lmp_da,0.9801934,0.99047564583207,-0.010282278
da_as_total_mw_primary_reserve,0.9508321,0.953601669814596,-0.0027695298
da_as_total_mw_synchronized_reserve,0.9158698,0.920000100798808,-0.004130304
da_as_total_mw_thirty_minutes_reserve,0.8492896,0.9141437178213236,-0.064854145
total_losses,0.84046984,0.9334742413917716,-0.093004405
net_actual_interchange_mw,0.82484746,0.9295984627394396,-0.10475099
marginal_loss_price_da,0.76836205,0.8816090434068973,-0.11324698
gross_actual_interchange_mw,0.76040626,0.8759973140166133,-0.11559105
congestion_price_rt,0.606309,0.6702083206524372,-0.06389934
congestion_price_da,0.5859003,0.6602494811248918,-0.074349165
