,probe_r2,single_r2,baseline_1head,static_4head,static_8head,dynamic_4head,dynamic_8head,dyn4_minus_stat4,dyn8_minus_stat8,dyn8_minus_base,dyn8_minus_single
net_actual_interchange_mw,0.2481899560136845,0.819790780544281,0.7587541341781616,0.728691577911377,0.7507741451263428,0.7422430515289307,0.7516864538192749,0.013551473617553711,0.0009123086929321289,-0.007067680358886719,-0.0681043267250061
gross_actual_interchange_mw,0.2460934792895835,0.7351402044296265,0.7252269387245178,0.7265551090240479,0.7245482206344604,0.7330584526062012,0.7335922718048096,0.00650334358215332,0.009044051170349121,0.008365333080291748,-0.0015479326248168945
total_gen,0.9906449538219424,0.9952749013900756,0.9847829341888428,0.9853285551071168,0.9835367202758788,0.9840543866157532,0.9862432479858398,-0.0012741684913636364,0.0027065277099610485,0.0014603137969970703,-0.009031653404235729
metered_load_mw,0.9762308832723112,0.9945668578147888,0.9883846044540404,0.9874913692474364,0.9846855998039246,0.9871342182159424,0.9878467321395874,-0.0003571510314940296,0.003161132335662842,-0.000537872314453014,-0.006720125675201416
total_losses,0.6540839836602339,0.8267552852630615,0.7929946780204773,0.7900972366333008,0.7821319699287415,0.7884381413459778,0.801268458366394,-0.001659095287322998,0.019136488437652588,0.008273780345916748,-0.02548682689666748
congestion_price_da,0.0475838272605031,0.517056941986084,0.346997320652008,0.2731812596321106,0.2809743881225586,0.3759084343910217,0.3571691513061523,0.10272717475891108,0.0761947631835937,0.010171830654144287,-0.1598877906799317
congestion_price_rt,0.4561738508473963,0.5028364658355713,0.5210531949996948,0.5412904024124146,0.540056586265564,0.5187877416610718,0.546393632888794,-0.022502660751342773,0.0063370466232299805,0.02534043788909912,0.043557167053222656
marginal_loss_price_da,0.4407231017762543,0.7623509168624878,0.7246615886688232,0.7193995714187622,0.713628888130188,0.7061748504638672,0.7186387181282043,-0.01322472095489502,0.005009829998016357,-0.0060228705406188965,-0.04371219873428345
total_lmp_da,0.9299314144617218,0.9976135492324828,0.9772970080375672,0.9707497358322144,0.972626566886902,0.9749568700790404,0.9784623980522156,0.004207134246826061,0.00583583116531361,0.0011653900146483265,-0.019151151180267223
da_as_total_mw_primary_reserve,0.9752278189577616,0.992136776447296,0.9461244344711304,0.945501744747162,0.9444107413291932,0.9441770315170288,0.9493114948272704,-0.0013247132301331677,0.0049007534980771705,0.0031870603561400257,-0.042825281620025635
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.995881736278534,0.910111367702484,0.9090779423713684,0.908905863761902,0.9075033664703368,0.9112232327461244,-0.0015745759010316052,0.002317368984222412,0.0011118650436403588,-0.08465850353240967
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.7876495122909546,0.8018717765808105,0.7897882461547852,0.7836112380027771,0.8015773892402649,0.7921643853187561,0.011789143085479736,0.008553147315979004,-0.009707391262054443,0.004514873027801514
