target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,7,0.19827862083911896,0.1981801688671112,0.20015892386436462,0.20413562655448914,0.19924665987491608
gross_actual_interchange_mw,10,0.19701170921325684,0.1966412216424942,0.19675129652023315,0.2125817835330963,0.1970139443874359
total_gen,23,0.19936615228652954,0.19956783950328827,0.20000997185707092,0.2014799267053604,0.19957609474658966
metered_load_mw,21,0.1986388862133026,0.19902043044567108,0.19991736114025116,0.20345517992973328,0.19896815717220306
total_losses,14,0.19349674880504608,0.194968119263649,0.19631314277648926,0.2203921228647232,0.19482986629009247
congestion_price_da,4,0.18890710175037384,0.1857275366783142,0.19050508737564087,0.21217024326324463,0.22269004583358765
congestion_price_rt,9,0.20018327236175537,0.20022721588611603,0.1997622847557068,0.19824078679084778,0.20158641040325165
marginal_loss_price_da,16,0.20633700489997864,0.19791172444820404,0.2039509415626526,0.1899326592683792,0.20186765491962433
total_lmp_da,25,0.20222729444503784,0.1985480934381485,0.20173883438110352,0.19801127910614014,0.1994745433330536
da_as_total_mw_primary_reserve,8,0.2070627361536026,0.19961071014404297,0.19944341480731964,0.1927623450756073,0.2011207938194275
da_as_total_mw_synchronized_reserve,7,0.19235859811306,0.19100379943847656,0.19485773146152496,0.2283107191324234,0.19346913695335388
da_as_total_mw_thirty_minutes_reserve,15,0.20088914036750793,0.20102038979530334,0.2004367709159851,0.1982385218143463,0.1994151771068573
