field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.5479820966720581,-0.3816163660673815
gross_actual_interchange_mw,0.8759973140166133,0.6782174706459045,-0.19777984337070875
total_gen,0.99832719588513,0.9797753691673279,-0.01855182671780209
metered_load_mw,0.9962878493933236,0.986426830291748,-0.009861019101575552
total_losses,0.9334742413917716,0.7309105396270752,-0.2025637017646964
congestion_price_da,0.6602494811248918,0.24530881643295288,-0.4149406646919389
congestion_price_rt,0.6702083206524372,0.3468209505081177,-0.3233873701443195
marginal_loss_price_da,0.8816090434068973,0.653533935546875,-0.22807510786002227
total_lmp_da,0.99047564583207,0.945458173751831,-0.045017472080238985
da_as_total_mw_primary_reserve,0.953601669814596,0.930641233921051,-0.022960435893545017
da_as_total_mw_synchronized_reserve,0.920000100798808,0.8784641623497009,-0.04153593844910708
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.6930441856384277,-0.2210995321828959
