field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.8452138304710388,-0.08438463226840076
gross_actual_interchange_mw,0.8759973140166133,0.7949991226196289,-0.08099819139698439
total_gen,0.99832719588513,0.9874463081359863,-0.010880887749143642
metered_load_mw,0.9962878493933236,0.9908185601234436,-0.0054692892698799955
total_losses,0.9334742413917716,0.8619816303253174,-0.07149261106645421
congestion_price_da,0.6602494811248918,0.6415117979049683,-0.01873768321992353
congestion_price_rt,0.6702083206524372,0.6275171041488647,-0.04269121650357244
marginal_loss_price_da,0.8816090434068973,0.7866523265838623,-0.09495671682303497
total_lmp_da,0.99047564583207,0.9818348288536072,-0.008640816978462862
da_as_total_mw_primary_reserve,0.953601669814596,0.9513140320777893,-0.0022876377368067358
da_as_total_mw_synchronized_reserve,0.920000100798808,0.9178311228752136,-0.002168977923594384
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.8707312345504761,-0.04341248327084757
