i,j,k,conf,est
0,1,2,net_actual_interchange_mw,0.18687933683395386
0,1,2,gross_actual_interchange_mw,0.18343383073806763
0,1,2,total_gen,0.9157692193984985
0,1,2,metered_load_mw,0.8947698473930359
0,1,2,total_losses,0.5115146636962891
0,1,2,congestion_price_da,0.11640417575836182
0,1,2,congestion_price_rt,0.04340028762817383
0,1,2,marginal_loss_price_da,0.2835620045661926
0,1,2,total_lmp_da,0.44885456562042236
0,1,2,da_as_total_mw_primary_reserve,0.23843812942504883
0,1,2,da_as_total_mw_synchronized_reserve,0.17653489112854004
0,1,2,da_as_total_mw_thirty_minutes_reserve,0.3688640594482422
0,1,3,net_actual_interchange_mw,0.36123400926589966
0,1,3,gross_actual_interchange_mw,0.20289140939712524
0,1,3,total_gen,0.9121151566505432
0,1,3,metered_load_mw,0.8893639445304871
0,1,3,total_losses,0.5311439037322998
0,1,3,congestion_price_da,0.12179535627365112
0,1,3,congestion_price_rt,0.08451461791992188
0,1,3,marginal_loss_price_da,0.2928222417831421
0,1,3,total_lmp_da,0.44667088985443115
0,1,3,da_as_total_mw_primary_reserve,0.23045438528060913
0,1,3,da_as_total_mw_synchronized_reserve,0.18273746967315674
0,1,3,da_as_total_mw_thirty_minutes_reserve,0.48709821701049805
0,1,4,net_actual_interchange_mw,0.3009253740310669
0,1,4,gross_actual_interchange_mw,0.19289642572402954
0,1,4,total_gen,0.9242340326309204
0,1,4,metered_load_mw,0.8975300192832947
0,1,4,total_losses,0.6137673854827881
0,1,4,congestion_price_da,0.12247484922409058
0,1,4,congestion_price_rt,0.06399667263031006
0,1,4,marginal_loss_price_da,0.35032421350479126
0,1,4,total_lmp_da,0.4958674907684326
0,1,4,da_as_total_mw_primary_reserve,0.2423962950706482
0,1,4,da_as_total_mw_synchronized_reserve,0.17050576210021973
0,1,4,da_as_total_mw_thirty_minutes_reserve,0.5645567178726196
0,1,5,net_actual_interchange_mw,0.2723890542984009
0,1,5,gross_actual_interchange_mw,0.18220853805541992
0,1,5,total_gen,0.90864497423172
0,1,5,metered_load_mw,0.8900212049484253
0,1,5,total_losses,0.5441340804100037
0,1,5,congestion_price_da,0.16985660791397095
0,1,5,congestion_price_rt,0.0976971983909607
0,1,5,marginal_loss_price_da,0.45530128479003906
0,1,5,total_lmp_da,0.6106095910072327
0,1,5,da_as_total_mw_primary_reserve,0.18963688611984253
0,1,5,da_as_total_mw_synchronized_reserve,0.155362069606781
0,1,5,da_as_total_mw_thirty_minutes_reserve,0.4469394087791443
0,1,6,net_actual_interchange_mw,0.21624958515167236
0,1,6,gross_actual_interchange_mw,0.19633394479751587
0,1,6,total_gen,0.9004877805709839
0,1,6,metered_load_mw,0.8744828701019287
0,1,6,total_losses,0.5439965724945068
0,1,6,congestion_price_da,0.0687597393989563
0,1,6,congestion_price_rt,0.024222373962402344
0,1,6,marginal_loss_price_da,0.2320290207862854
0,1,6,total_lmp_da,0.38138842582702637
0,1,6,da_as_total_mw_primary_reserve,0.15231359004974365
0,1,6,da_as_total_mw_synchronized_reserve,0.15423732995986938
0,1,6,da_as_total_mw_thirty_minutes_reserve,0.372570276260376
0,1,7,net_actual_interchange_mw,0.21691381931304932
0,1,7,gross_actual_interchange_mw,0.26655226945877075
0,1,7,total_gen,0.9317582845687866
0,1,7,metered_load_mw,0.9046341776847839
0,1,7,total_losses,0.5508378744125366
0,1,7,congestion_price_da,0.1275615096092224
0,1,7,congestion_price_rt,0.04493999481201172
0,1,7,marginal_loss_price_da,0.26437610387802124
0,1,7,total_lmp_da,0.4263891577720642
0,1,7,da_as_total_mw_primary_reserve,0.14331024885177612
0,1,7,da_as_total_mw_synchronized_reserve,0.1495835781097412
0,1,7,da_as_total_mw_thirty_minutes_reserve,0.3108501434326172
0,1,8,net_actual_interchange_mw,0.23785412311553955
0,1,8,gross_actual_interchange_mw,0.20567858219146729
0,1,8,total_gen,0.9043407440185547
0,1,8,metered_load_mw,0.8828330636024475
0,1,8,total_losses,0.5293329358100891
0,1,8,congestion_price_da,0.10313493013381958
0,1,8,congestion_price_rt,0.06244707107543945
0,1,8,marginal_loss_price_da,0.28859061002731323
0,1,8,total_lmp_da,0.4487088918685913
0,1,8,da_as_total_mw_primary_reserve,0.1697482466697693
0,1,8,da_as_total_mw_synchronized_reserve,0.15713822841644287
0,1,8,da_as_total_mw_thirty_minutes_reserve,0.34782660007476807
0,1,9,net_actual_interchange_mw,0.1986817717552185
0,1,9,gross_actual_interchange_mw,0.19764190912246704
0,1,9,total_gen,0.9162667393684387
0,1,9,metered_load_mw,0.8910844922065735
0,1,9,total_losses,0.6823946237564087
0,1,9,congestion_price_da,0.12103384733200073
0,1,9,congestion_price_rt,0.050844550132751465
0,1,9,marginal_loss_price_da,0.3230833411216736
0,1,9,total_lmp_da,0.433410108089447
0,1,9,da_as_total_mw_primary_reserve,0.1381065845489502
0,1,9,da_as_total_mw_synchronized_reserve,0.14215821027755737
0,1,9,da_as_total_mw_thirty_minutes_reserve,0.30230802297592163
0,1,10,net_actual_interchange_mw,0.208515465259552
0,1,10,gross_actual_interchange_mw,0.18194890022277832
0,1,10,total_gen,0.9158198833465576
0,1,10,metered_load_mw,0.8916473388671875
0,1,10,total_losses,0.5096093416213989
0,1,10,congestion_price_da,0.10833311080932617
0,1,10,congestion_price_rt,0.04763120412826538
0,1,10,marginal_loss_price_da,0.240669846534729
0,1,10,total_lmp_da,0.3887484669685364
0,1,10,da_as_total_mw_primary_reserve,0.1605871319770813
0,1,10,da_as_total_mw_synchronized_reserve,0.1636718511581421
0,1,10,da_as_total_mw_thirty_minutes_reserve,0.3422301411628723
0,1,11,net_actual_interchange_mw,0.1828937530517578
0,1,11,gross_actual_interchange_mw,0.1861761212348938
0,1,11,total_gen,0.9127210378646851
0,1,11,metered_load_mw,0.888481855392456
0,1,11,total_losses,0.5633847713470459
0,1,11,congestion_price_da,0.1148795485496521
0,1,11,congestion_price_rt,0.041894376277923584
0,1,11,marginal_loss_price_da,0.2830650210380554
0,1,11,total_lmp_da,0.4177204370498657
0,1,11,da_as_total_mw_primary_reserve,0.1183009147644043
0,1,11,da_as_total_mw_synchronized_reserve,0.1446516513824463
0,1,11,da_as_total_mw_thirty_minutes_reserve,0.301125168800354
0,1,12,net_actual_interchange_mw,0.19623547792434692
0,1,12,gross_actual_interchange_mw,0.19851601123809814
0,1,12,total_gen,0.9218500256538391
0,1,12,metered_load_mw,0.9016153812408447
0,1,12,total_losses,0.5253951549530029
0,1,12,congestion_price_da,0.1316731572151184
0,1,12,congestion_price_rt,0.05454796552658081
0,1,12,marginal_loss_price_da,0.3064166307449341
0,1,12,total_lmp_da,0.47366368770599365
0,1,12,da_as_total_mw_primary_reserve,0.2516694664955139
0,1,12,da_as_total_mw_synchronized_reserve,0.1919824481010437
0,1,12,da_as_total_mw_thirty_minutes_reserve,0.3653413653373718
0,1,13,net_actual_interchange_mw,0.36976563930511475
0,1,13,gross_actual_interchange_mw,0.20244628190994263
0,1,13,total_gen,0.9104111790657043
0,1,13,metered_load_mw,0.8842449188232422
0,1,13,total_losses,0.5351868271827698
0,1,13,congestion_price_da,0.116058349609375
0,1,13,congestion_price_rt,0.08703571557998657
0,1,13,marginal_loss_price_da,0.2846682667732239
0,1,13,total_lmp_da,0.44389843940734863
0,1,13,da_as_total_mw_primary_reserve,0.23603570461273193
0,1,13,da_as_total_mw_synchronized_reserve,0.18528926372528076
0,1,13,da_as_total_mw_thirty_minutes_reserve,0.4979838728904724
0,1,14,net_actual_interchange_mw,0.20993489027023315
0,1,14,gross_actual_interchange_mw,0.18309307098388672
0,1,14,total_gen,0.9186777472496033
0,1,14,metered_load_mw,0.9021235108375549
0,1,14,total_losses,0.515299916267395
0,1,14,congestion_price_da,0.10140901803970337
0,1,14,congestion_price_rt,0.04942828416824341
0,1,14,marginal_loss_price_da,0.28216302394866943
0,1,14,total_lmp_da,0.4311431050300598
0,1,14,da_as_total_mw_primary_reserve,0.1794080138206482
0,1,14,da_as_total_mw_synchronized_reserve,0.15191739797592163
0,1,14,da_as_total_mw_thirty_minutes_reserve,0.43563687801361084
0,1,15,net_actual_interchange_mw,0.29039090871810913
0,1,15,gross_actual_interchange_mw,0.17966210842132568
0,1,15,total_gen,0.9121016263961792
0,1,15,metered_load_mw,0.8895874619483948
0,1,15,total_losses,0.5321711301803589
0,1,15,congestion_price_da,0.07775145769119263
0,1,15,congestion_price_rt,0.0884203314781189
0,1,15,marginal_loss_price_da,0.42308181524276733
0,1,15,total_lmp_da,0.5781334638595581
0,1,15,da_as_total_mw_primary_reserve,0.20311200618743896
0,1,15,da_as_total_mw_synchronized_reserve,0.15497630834579468
0,1,15,da_as_total_mw_thirty_minutes_reserve,0.4592058062553406
0,1,16,net_actual_interchange_mw,0.16880685091018677
0,1,16,gross_actual_interchange_mw,0.18516522645950317
0,1,16,total_gen,0.9195696711540222
0,1,16,metered_load_mw,0.8947304487228394
0,1,16,total_losses,0.5158419609069824
0,1,16,congestion_price_da,0.09888029098510742
0,1,16,congestion_price_rt,0.0194779634475708
0,1,16,marginal_loss_price_da,0.25933438539505005
0,1,16,total_lmp_da,0.4016913175582886
0,1,16,da_as_total_mw_primary_reserve,0.14250701665878296
0,1,16,da_as_total_mw_synchronized_reserve,0.1518496870994568
0,1,16,da_as_total_mw_thirty_minutes_reserve,0.33515411615371704
0,1,17,net_actual_interchange_mw,0.2138432264328003
0,1,17,gross_actual_interchange_mw,0.26678162813186646
0,1,17,total_gen,0.9326397180557251
0,1,17,metered_load_mw,0.9070501327514648
0,1,17,total_losses,0.5557717084884644
0,1,17,congestion_price_da,0.12775689363479614
0,1,17,congestion_price_rt,0.03924858570098877
0,1,17,marginal_loss_price_da,0.27482277154922485
0,1,17,total_lmp_da,0.4379194974899292
0,1,17,da_as_total_mw_primary_reserve,0.1318071484565735
0,1,17,da_as_total_mw_synchronized_reserve,0.14449429512023926
0,1,17,da_as_total_mw_thirty_minutes_reserve,0.31571733951568604
0,1,18,net_actual_interchange_mw,0.19946157932281494
0,1,18,gross_actual_interchange_mw,0.19599056243896484
0,1,18,total_gen,0.910618782043457
0,1,18,metered_load_mw,0.8869019150733948
0,1,18,total_losses,0.6695219278335571
