i,j,k,conf,est,K
14,38,42,net_actual_interchange_mw,0.5892539620399475,25
14,38,42,gross_actual_interchange_mw,0.28912144899368286,25
14,38,42,total_gen,0.8793252110481262,25
14,38,42,metered_load_mw,0.8733021020889282,25
14,38,42,total_losses,0.36079859733581543,25
14,38,42,congestion_price_da,0.22459203004837036,25
14,38,42,congestion_price_rt,0.16900020837783813,25
14,38,42,marginal_loss_price_da,0.6733076572418213,25
14,38,42,total_lmp_da,0.9770640134811401,25
14,38,42,da_as_total_mw_primary_reserve,0.17635715007781982,25
14,38,42,da_as_total_mw_synchronized_reserve,0.16789913177490234,25
14,38,42,da_as_total_mw_thirty_minutes_reserve,0.46327269077301025,25
3,33,43,net_actual_interchange_mw,0.33226925134658813,25
3,33,43,gross_actual_interchange_mw,0.6482856869697571,25
3,33,43,total_gen,0.5626503229141235,25
3,33,43,metered_load_mw,0.5530438423156738,25
3,33,43,total_losses,0.32547903060913086,25
3,33,43,congestion_price_da,0.17079120874404907,25
3,33,43,congestion_price_rt,0.127097487449646,25
3,33,43,marginal_loss_price_da,0.20856690406799316,25
3,33,43,total_lmp_da,0.33969050645828247,25
3,33,43,da_as_total_mw_primary_reserve,0.47228801250457764,25
3,33,43,da_as_total_mw_synchronized_reserve,0.5368936061859131,25
3,33,43,da_as_total_mw_thirty_minutes_reserve,0.36911022663116455,25
4,9,14,net_actual_interchange_mw,0.30472177267074585,25
4,9,14,gross_actual_interchange_mw,0.18911504745483398,25
4,9,14,total_gen,0.9895024299621582,25
4,9,14,metered_load_mw,0.9690460562705994,25
4,9,14,total_losses,0.6904225945472717,25
4,9,14,congestion_price_da,0.16853129863739014,25
4,9,14,congestion_price_rt,0.11014330387115479,25
4,9,14,marginal_loss_price_da,0.4449024796485901,25
4,9,14,total_lmp_da,0.5493842959403992,25
4,9,14,da_as_total_mw_primary_reserve,0.2300504446029663,25
4,9,14,da_as_total_mw_synchronized_reserve,0.14481478929519653,25
4,9,14,da_as_total_mw_thirty_minutes_reserve,0.5975549221038818,25
11,14,17,net_actual_interchange_mw,0.17861270904541016,25
11,14,17,gross_actual_interchange_mw,0.24550068378448486,25
11,14,17,total_gen,0.8683212995529175,25
11,14,17,metered_load_mw,0.8731676340103149,25
11,14,17,total_losses,0.5371484756469727,25
11,14,17,congestion_price_da,0.17418229579925537,25
11,14,17,congestion_price_rt,0.08581781387329102,25
11,14,17,marginal_loss_price_da,0.40090489387512207,25
11,14,17,total_lmp_da,0.557066023349762,25
11,14,17,da_as_total_mw_primary_reserve,0.08790707588195801,25
11,14,17,da_as_total_mw_synchronized_reserve,0.13289684057235718,25
11,14,17,da_as_total_mw_thirty_minutes_reserve,0.26786088943481445,25
3,32,43,net_actual_interchange_mw,0.31581711769104004,25
3,32,43,gross_actual_interchange_mw,0.6465380191802979,25
