i,j,k,conf,est,syn3_est_k0
0,1,2,net_actual_interchange_mw,0.1868793368339538,0.003693938255310003
0,1,2,gross_actual_interchange_mw,0.1834338307380676,0.0006719827651978094
0,1,2,total_gen,0.9157692193984984,0.007755100727081188
0,1,2,metered_load_mw,0.8947698473930359,0.012201249599456787
0,1,2,total_losses,0.5115146636962891,-0.013713479042053223
0,1,2,congestion_price_da,0.1164041757583618,-0.009505093097686698
0,1,2,congestion_price_rt,0.0434002876281738,-0.023535728454589802
0,1,2,marginal_loss_price_da,0.2835620045661926,-0.013061046600341797
0,1,2,total_lmp_da,0.4488545656204223,0.03165239095687861
0,1,2,da_as_total_mw_primary_reserve,0.2384381294250488,0.016773581504821805
0,1,2,da_as_total_mw_synchronized_reserve,0.17653489112854,0.028607964515686007
0,1,2,da_as_total_mw_thirty_minutes_reserve,0.3688640594482422,0.04588592052459717
0,1,3,net_actual_interchange_mw,0.3612340092658996,0.04159665107727051
0,1,3,gross_actual_interchange_mw,0.2028914093971252,0.0201295614242554
0,1,3,total_gen,0.9121151566505432,0.0041010379791259766
0,1,3,metered_load_mw,0.8893639445304871,0.006795346736907959
0,1,3,total_losses,0.5311439037322998,0.0059157609939575195
0,1,3,congestion_price_da,0.1217953562736511,0.0009751915931701938
0,1,3,congestion_price_rt,0.0845146179199218,-0.029099285602569594
0,1,3,marginal_loss_price_da,0.2928222417831421,-0.01751953363418579
0,1,3,total_lmp_da,0.4466708898544311,0.030683577060699407
0,1,3,da_as_total_mw_primary_reserve,0.2304543852806091,0.028972208499908503
0,1,3,da_as_total_mw_synchronized_reserve,0.1827374696731567,0.03899294137954712
0,1,3,da_as_total_mw_thirty_minutes_reserve,0.487098217010498,0.045079886913299505
0,1,4,net_actual_interchange_mw,0.3009253740310669,0.001597225666046198
0,1,4,gross_actual_interchange_mw,0.1928964257240295,0.010134577751159723
0,1,4,total_gen,0.9242340326309204,0.016219913959503174
0,1,4,metered_load_mw,0.8975300192832947,0.014961421489715576
0,1,4,total_losses,0.6137673854827881,0.018436193466186523
0,1,4,congestion_price_da,0.1224748492240905,0.00013828277587890625
0,1,4,congestion_price_rt,0.06399667263031,-0.006189823150634793
0,1,4,marginal_loss_price_da,0.3503242135047912,0.07701319456100458
