stage,R1,n_keep,recall,ci_lo,ci_hi,R2
L1,0.02,265,0.17692307692307693,0.12088390047519747,0.2515085395434514,
L1,0.05,662,0.38461538461538464,0.3054379513321147,0.4704164915316885,
L1,0.1,1324,0.6076923076923076,0.5218225250939242,0.6873799948998595,
L1,0.2,2649,0.7846153846153846,0.7063227036195908,0.8465696706496947,
L1,0.3,3973,0.8461538461538461,0.7742897829352684,0.8981468884733219,
L1+L2,0.2999848988221081,397,0.2,0.140298557361553,0.27692299408433524,0.1
L1+L2,0.2999848988221081,795,0.38461538461538464,0.3054379513321147,0.4704164915316885,0.2
L1+L2,0.2999848988221081,1391,0.6,0.5140824117718142,0.6801770710795564,0.35
L1+L2,0.2999848988221081,1986,0.7076923076923077,0.6244453872876856,0.7790166155574687,0.5
L1+L2,0.2999848988221081,3973,0.8461538461538461,0.7742897829352684,0.8981468884733219,1.0
