i,j,k,conf,est,K
1,38,42,net_actual_interchange_mw,0.5998290181159973,25
1,38,42,gross_actual_interchange_mw,0.32757288217544556,25
1,38,42,total_gen,0.8873043060302734,25
1,38,42,metered_load_mw,0.8784407377243042,25
1,38,42,total_losses,0.4396365284919739,25
1,38,42,congestion_price_da,0.24730753898620605,25
1,38,42,congestion_price_rt,0.1699141263961792,25
1,38,42,marginal_loss_price_da,0.689967155456543,25
1,38,42,total_lmp_da,0.977543294429779,25
1,38,42,da_as_total_mw_primary_reserve,0.28831344842910767,25
1,38,42,da_as_total_mw_synchronized_reserve,0.20799684524536133,25
1,38,42,da_as_total_mw_thirty_minutes_reserve,0.6262807846069336,25
1,40,42,net_actual_interchange_mw,0.5325245261192322,25
1,40,42,gross_actual_interchange_mw,0.34419065713882446,25
1,40,42,total_gen,0.8769464492797852,25
1,40,42,metered_load_mw,0.8649463653564453,25
1,40,42,total_losses,0.500784158706665,25
1,40,42,congestion_price_da,0.18665939569473267,25
1,40,42,congestion_price_rt,0.40925896167755127,25
1,40,42,marginal_loss_price_da,0.5467758774757385,25
1,40,42,total_lmp_da,0.6866950988769531,25
1,40,42,da_as_total_mw_primary_reserve,0.185538649559021,25
1,40,42,da_as_total_mw_synchronized_reserve,0.14691442251205444,25
1,40,42,da_as_total_mw_thirty_minutes_reserve,0.4188683032989502,25
3,31,43,net_actual_interchange_mw,0.3116183280944824,25
3,31,43,gross_actual_interchange_mw,0.6460168361663818,25
3,31,43,total_gen,0.5577775239944458,25
3,31,43,metered_load_mw,0.5499099493026733,25
3,31,43,total_losses,0.31557029485702515,25
3,31,43,congestion_price_da,0.17398136854171753,25
3,31,43,congestion_price_rt,0.12788110971450806,25
3,31,43,marginal_loss_price_da,0.2070881724357605,25
3,31,43,total_lmp_da,0.3401065468788147,25
3,31,43,da_as_total_mw_primary_reserve,0.4825391173362732,25
3,31,43,da_as_total_mw_synchronized_reserve,0.5392920970916748,25
3,31,43,da_as_total_mw_thirty_minutes_reserve,0.3720729351043701,25
7,11,14,net_actual_interchange_mw,0.19128680229187012,25
7,11,14,gross_actual_interchange_mw,0.24168074131011963,25
7,11,14,total_gen,0.8668684959411621,25
7,11,14,metered_load_mw,0.8706704378128052,25
7,11,14,total_losses,0.5167742967605591,25
7,11,14,congestion_price_da,0.17278122901916504,25
7,11,14,congestion_price_rt,0.08881759643554688,25
7,11,14,marginal_loss_price_da,0.39600473642349243,25
7,11,14,total_lmp_da,0.556626558303833,25
7,11,14,da_as_total_mw_primary_reserve,0.09082019329071045,25
7,11,14,da_as_total_mw_synchronized_reserve,0.13423454761505127,25
7,11,14,da_as_total_mw_thirty_minutes_reserve,0.27440345287323,25
0,38,42,net_actual_interchange_mw,0.5311645865440369,25
0,38,42,gross_actual_interchange_mw,0.3004631996154785,25
0,38,42,total_gen,0.8197835683822632,25
0,38,42,metered_load_mw,0.8322311639785767,25
0,38,42,total_losses,0.5340890884399414,25
0,38,42,congestion_price_da,0.2743469476699829,25
0,38,42,congestion_price_rt,0.15930300951004028,25
0,38,42,marginal_loss_price_da,0.6724673509597778,25
0,38,42,total_lmp_da,0.9761877655982971,25
0,38,42,da_as_total_mw_primary_reserve,0.20155763626098633,25
0,38,42,da_as_total_mw_synchronized_reserve,0.15914511680603027,25
0,38,42,da_as_total_mw_thirty_minutes_reserve,0.5216606259346008,25
11,17,20,net_actual_interchange_mw,0.12338137626647949,25
11,17,20,gross_actual_interchange_mw,0.28276634216308594,25
11,17,20,total_gen,0.9663297533988953,25
11,17,20,metered_load_mw,0.9770722389221191,25
11,17,20,total_losses,0.6984906792640686,25
11,17,20,congestion_price_da,0.20266252756118774,25
11,17,20,congestion_price_rt,0.10514700412750244,25
11,17,20,marginal_loss_price_da,0.5232159495353699,25
11,17,20,total_lmp_da,0.6478345990180969,25
11,17,20,da_as_total_mw_primary_reserve,0.12417352199554443,25
11,17,20,da_as_total_mw_synchronized_reserve,0.13694345951080322,25
11,17,20,da_as_total_mw_thirty_minutes_reserve,0.31451278924942017,25
7,11,19,net_actual_interchange_mw,0.12801975011825562,25
7,11,19,gross_actual_interchange_mw,0.28630971908569336,25
7,11,19,total_gen,0.9719110131263733,25
7,11,19,metered_load_mw,0.985905110836029,25
7,11,19,total_losses,0.704321026802063,25
7,11,19,congestion_price_da,0.21172040700912476,25
7,11,19,congestion_price_rt,0.11519187688827515,25
7,11,19,marginal_loss_price_da,0.5135579109191895,25
7,11,19,total_lmp_da,0.6407999992370605,25
7,11,19,da_as_total_mw_primary_reserve,0.12205326557159424,25
7,11,19,da_as_total_mw_synchronized_reserve,0.14231234788894653,25
7,11,19,da_as_total_mw_thirty_minutes_reserve,0.32041895389556885,25
13,14,32,net_actual_interchange_mw,0.399064302444458,25
13,14,32,gross_actual_interchange_mw,0.10874271392822266,25
13,14,32,total_gen,0.8918120861053467,25
13,14,32,metered_load_mw,0.8772215843200684,25
13,14,32,total_losses,0.34753715991973877,25
13,14,32,congestion_price_da,0.15089571475982666,25
13,14,32,congestion_price_rt,0.14697962999343872,25
13,14,32,marginal_loss_price_da,0.2911706566810608,25
13,14,32,total_lmp_da,0.4819678068161011,25
13,14,32,da_as_total_mw_primary_reserve,0.48267900943756104,25
13,14,32,da_as_total_mw_synchronized_reserve,0.5397006869316101,25
13,14,32,da_as_total_mw_thirty_minutes_reserve,0.5062974691390991,25
4,10,30,net_actual_interchange_mw,0.3686886429786682,25
4,10,30,gross_actual_interchange_mw,0.1963823437690735,25
4,10,30,total_gen,0.7522932291030884,25
4,10,30,metered_load_mw,0.7331057786941528,25
4,10,30,total_losses,0.6056162714958191,25
4,10,30,congestion_price_da,0.16402709484100342,25
4,10,30,congestion_price_rt,0.09584426879882812,25
4,10,30,marginal_loss_price_da,0.548601508140564,25
4,10,30,total_lmp_da,0.7974106073379517,25
4,10,30,da_as_total_mw_primary_reserve,0.28070926666259766,25
4,10,30,da_as_total_mw_synchronized_reserve,0.22782236337661743,25
4,10,30,da_as_total_mw_thirty_minutes_reserve,0.6228013038635254,25
11,17,19,net_actual_interchange_mw,0.1130073070526123,25
11,17,19,gross_actual_interchange_mw,0.2857493758201599,25
11,17,19,total_gen,0.9720209240913391,25
11,17,19,metered_load_mw,0.9862521886825562,25
11,17,19,total_losses,0.704493522644043,25
11,17,19,congestion_price_da,0.2107851505279541,25
11,17,19,congestion_price_rt,0.11347293853759766,25
11,17,19,marginal_loss_price_da,0.5214720964431763,25
11,17,19,total_lmp_da,0.6438413858413696,25
11,17,19,da_as_total_mw_primary_reserve,0.11945194005966187,25
11,17,19,da_as_total_mw_synchronized_reserve,0.13853603601455688,25
11,17,19,da_as_total_mw_thirty_minutes_reserve,0.3151874542236328,25
13,14,31,net_actual_interchange_mw,0.3987233638763428,25
13,14,31,gross_actual_interchange_mw,0.10943102836608887,25
13,14,31,total_gen,0.891711950302124,25
13,14,31,metered_load_mw,0.8777072429656982,25
13,14,31,total_losses,0.3487415909767151,25
13,14,31,congestion_price_da,0.15293079614639282,25
13,14,31,congestion_price_rt,0.14930212497711182,25
13,14,31,marginal_loss_price_da,0.2923431396484375,25
13,14,31,total_lmp_da,0.48090940713882446,25
13,14,31,da_as_total_mw_primary_reserve,0.4828011989593506,25
13,14,31,da_as_total_mw_synchronized_reserve,0.5398825407028198,25
13,14,31,da_as_total_mw_thirty_minutes_reserve,0.5046652555465698,25
1,3,42,net_actual_interchange_mw,0.4887186884880066,25
1,3,42,gross_actual_interchange_mw,0.32717347145080566,25
