pool,stage,R1,R2,n_keep,n_finetune,recall
triple_rand,L1,0.02,,265,0,0.21428571428571427
triple_rand,L1,0.05,,662,0,0.5
triple_rand,L1,0.1,,1324,0,0.6428571428571429
triple_rand,L1,0.2,,2649,0,0.8571428571428571
triple_rand,L1,0.3,,3973,0,0.9285714285714286
triple_rand,L1+L2,0.2999848988221081,0.05,199,3973,0.21428571428571427
triple_rand,L1+L2,0.2999848988221081,0.1,397,3973,0.2857142857142857
triple_rand,L1+L2,0.2999848988221081,0.2,795,3973,0.42857142857142855
triple_rand,L1+L2,0.2999848988221081,0.35,1391,3973,0.6428571428571429
triple_rand,L1+L2,0.2999848988221081,0.5,1986,3973,0.7857142857142857
triple_rand,L1+L2,0.2999848988221081,1.0,3973,3973,0.9285714285714286
triple_top,L1,0.02,,265,0,0.38578680203045684
triple_top,L1,0.05,,662,0,0.5736040609137056
triple_top,L1,0.1,,1324,0,0.6751269035532995
triple_top,L1,0.2,,2649,0,0.7258883248730964
triple_top,L1,0.3,,3973,0,0.7817258883248731
triple_top,L1+L2,0.2999848988221081,0.05,199,3973,0.3248730964467005
triple_top,L1+L2,0.2999848988221081,0.1,397,3973,0.49238578680203043
triple_top,L1+L2,0.2999848988221081,0.2,795,3973,0.6903553299492385
triple_top,L1+L2,0.2999848988221081,0.35,1391,3973,0.7715736040609137
triple_top,L1+L2,0.2999848988221081,0.5,1986,3973,0.7715736040609137
triple_top,L1+L2,0.2999848988221081,1.0,3973,3973,0.7817258883248731
