目标,字段,pearson,spearman,mi,dcor,loco,graph,perm,sage,pair_tree_r2,M0,M1,M2,M2见证,τ0.5关键,τ0.7关键
Y,A,0.0011779384903405582,0.0009794517352747318,0.08967881855950299,0.12272269181468438,0.5043504403939264,0.00472151256688802,0.9927853494162946,0.21964702293205896,0.00472151256688802,0.000416235,0.53831434,0.5584781,B + C2,True,True
Y,B,0.000554441190029372,0.0005704819043132948,0.056453621553665734,0.1228581624778978,0.5356676410800385,0.0,0.9712005408079032,0.3367050194680575,0.0,0.0,0.5378981,0.55881953,A + C2,True,True
Y,C1,0.41990710714123897,0.4650940938166817,0.35054081206871235,0.6421503780667955,0.005071937651973446,0.8277525386685195,0.3128946581099382,0.21105053393829284,0.42447379399242,0.38528067,0.38528067,0.39731234,A + B,False,True
Y,C2,0.41508766277592,0.4594518138315492,0.3839778720244462,0.6375267357923085,0.011266968017671686,0.8137905626627606,0.15101106298886685,0.18770680012299976,0.4041597566794277,0.38693693,0.38693693,0.39516723,A + B,False,True
Y,D,0.20317314664202032,0.22414996686317126,0.1489877587173707,0.44617847051606724,-0.0020741827250737588,0.49899034110401963,0.00010756156299938092,-0.0020200740027299657,0.19535748145968856,0.19027893,0.19073045,0.19286454,A + B,False,True
Y,N,0.0015397417631310528,0.0012738585514897602,0.0,0.048723129198259475,-0.00038727731699528256,6.525377190216209e-06,-0.0007485972829776478,-0.0008168237181863982,0.0,0.0,0.0,0.0,∅,False,False
