集合,V
A,0.000416235
B,0.0
C1,0.38528067
C2,0.38693693
D,0.19027893
N,0.0
A + B,0.53831434
A + C1,0.38528067
A + C2,0.37466207
A + D,0.19027893
A + N,0.000416235
B + C1,0.38376844
B + C2,0.37500346
B + D,0.19073045
B + N,0.0
C1 + C2,0.38528067
C1 + D,0.38528067
C1 + N,0.38528067
C2 + D,0.38693693
C2 + N,0.38478905
D + N,0.19027893
A + B + C1,0.9356267
A + B + C2,0.9334816
A + B + D,0.7311789
A + B + N,0.53831434
A + C1 + C2,0.38528067
A + C1 + D,0.38528067
A + C1 + N,0.38528067
A + C2 + D,0.37466207
A + C2 + N,0.37174395
A + D + N,0.19027893
B + C1 + C2,0.39049578
B + C1 + D,0.38376844
B + C1 + N,0.3739929
B + C2 + D,0.37500346
B + C2 + N,0.37500346
B + D + N,0.18557768
C1 + C2 + D,0.38528067
C1 + C2 + N,0.38528067
C1 + D + N,0.38528067
C2 + D + N,0.38608015
A + B + C1 + C2,0.9420307
A + B + C1 + D,0.9356267
A + B + C1 + N,0.9356267
A + B + C2 + D,0.9334816
A + B + C2 + N,0.9334816
A + B + D + N,0.7311789
A + C1 + C2 + D,0.38528067
A + C1 + C2 + N,0.38528067
A + C1 + D + N,0.38528067
A + C2 + D + N,0.37174395
B + C1 + C2 + D,0.39049578
B + C1 + C2 + N,0.39049578
B + C1 + D + N,0.37889132
B + C2 + D + N,0.37500346
C1 + C2 + D + N,0.38528067
A + B + C1 + C2 + D,0.9420307
A + B + C1 + C2 + N,0.9420307
A + B + C1 + D + N,0.9356267
A + B + C2 + D + N,0.9334816
A + C1 + C2 + D + N,0.38528067
B + C1 + C2 + D + N,0.39049578
A + B + C1 + C2 + D + N,0.9420307
