目标,字段,pearson,spearman,mi,dcor,loco,graph,perm,sage,pair_tree_r2
Y_actual_load__mw__ca_iso_tac,dam_load_forecast__mw__pge_tac,0.5660973159871358,0.4937021758209702,0.7677634788943344,0.7041667189067278,0.0001799952683129158,9.577385544211685,0.028415704397364537,0.05833425055791861,0.6085420063365032
Y_actual_load__mw__ca_iso_tac,dam_load_forecast__mw__sce_tac,0.8166298350729767,0.752478475117851,1.0004163698993231,0.8725745683289989,-0.0010201711806562264,8.458082217297818,0.3794926330098355,0.4408225313845673,0.8310445861019083
Y_actual_load__mw__ca_iso_tac,dam_load_forecast__mw__sdge_tac,0.3146517354634726,0.24352537179679762,0.5326828911583714,0.5176589344146282,-0.00027693153025054595,9.937839586871352,0.002458322795347789,-0.002092353143493047,0.5062600258892616
Y_actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__np15__solar,0.07248115227651782,0.10249094485800378,0.1738722012972591,0.26994411323177525,0.0010969285644234494,6.706054909992514,0.0017472791912824138,0.00026286502672522954,0.07632557981271593
Y_actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__np15__wind,0.0523289489585927,0.0459449008842543,0.07148997197615525,0.25529169343447117,0.0029459734269138282,0.5840692907638227,0.003029858075972025,0.0031139117298146085,0.020833885250503004
Y_actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__sp15__solar,0.06310885625045541,0.08908366817006996,0.17577124891389273,0.2635310796208036,0.0017529817573920248,6.673492467785294,0.180402212734666,0.0712999293076554,0.03926999415416199
Y_actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__sp15__wind,0.0013550680437060545,0.0007919789210722739,0.03555375634705005,0.07052974563721089,0.0009874097660749204,0.4084752206163565,0.002764694525858968,-0.0014250897371420694,0.006585198923859226
Y_actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__zp26__solar,0.06922995965024638,0.09896324322220382,0.17713427334605614,0.2689159076242037,0.0006335351731726613,6.731953906591216,0.007104806056863056,0.008140105285975965,0.06889392336978584
Y_actual_load__mw__ca_iso_tac,dam_renewable_forecast__mw__zp26__wind,0.021984814724988696,0.023220696193875696,0.020889204637616565,0.13851946551011055,0.0006411984847862762,0.1752793528840787,0.0019900800082270687,0.002765924921742898,0.018328988374433197
Y_actual_load__mw__ca_iso_tac,dam_lmp__energy_usd_per_mwh__th_sp15_gen_apnd,0.07483685625353648,0.026956159989834656,0.20141877299114874,0.23467220508788966,-0.001063930678867564,8.523236687123793,0.003573068328407136,0.015607591991976371,0.12909514470659877
Y_actual_load__mw__ca_iso_tac,dam_lmp__lmp_usd_per_mwh__th_np15_gen_apnd,0.07730856922438585,0.033970760358109274,0.12887622495728124,0.23922139992874267,-0.0015967653572837026,7.216441100304401,0.0021812425013024717,0.009226728948028057,0.09675284629438663
Y_actual_load__mw__ca_iso_tac,dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,0.028686669742795583,0.006521527696204656,0.18807686951872338,0.17596442328694298,6.662728141115792e-05,8.322124975121318,0.001618844527127683,0.004039740968043766,0.11179990897927872
Y_actual_load__mw__ca_iso_tac,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_np15_gen_apnd,0.07322879361103125,0.03157371969879675,0.12563060745301957,0.23060732832991462,0.0006326816923633016,5.703523288302882,0.0006664942281714659,0.002975559692703684,0.07273706130417035
Y_actual_load__mw__ca_iso_tac,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_sp15_gen_apnd,0.03953248295071491,0.007443710584773497,0.12140659569068202,0.19132629622581707,7.064767964859442e-06,7.35534624159534,0.002162611689642846,0.009556162227725346,0.08792629866310508
Y_actual_load__mw__ca_iso_tac,rt15_lmp_hourly_mean__lmp_usd_per_mwh__th_zp26_gen_apnd,0.027234022049667787,0.0037759350615733725,0.13623524445394164,0.17621654396231407,0.0006006594554039957,7.203385041587781,0.004023921751750858,0.012186392882793695,0.08798131972864398
Y_actual_load__mw__ca_iso_tac,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd,0.005540626158812798,0.002540630557436251,0.0637692178231033,0.14315485905016087,0.00016207448311134076,3.0895406124625167,0.0014632246902862133,0.0032100094741592533,0.024194236558025328
Y_actual_load__mw__ca_iso_tac,dam_schedule__mw__load__tac_north,0.6197270216358607,0.5475606848722137,0.7540871986058866,0.7346301558071973,0.000403161435374777,9.125356946665907,0.0076038011481609265,0.032557601075016304,0.6568418547664757
Y_actual_load__mw__ca_iso_tac,dam_schedule__mw__load__tac_ecntr,0.8010120841254128,0.7266302570871944,0.9815129180302877,0.8603608727402362,0.0006061333357408882,8.384278592982215,0.053242156129280446,0.11335877195498296,0.8115281491756019
Y_actual_load__mw__ca_iso_tac,dam_schedule__mw__load__tac_south,0.20205631464380405,0.13835802601979172,0.33716756522719216,0.39944002213718743,0.0004953230624819005,9.134516565873303,0.0019772617917745094,0.007656545102774377,0.34877513499350277
Y_actual_load__mw__ca_iso_tac,dam_as_requirement__mw__as_caiso_exp__regulation_mileage_up__minimum,0.02120349274389881,0.03264918869618792,0.040710262265816866,0.1485699240093684,0.00023311285523319736,1.4046070854232522,0.0005639324375968702,-0.0004955245442307734,0.009182496036688415
