target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.21340734,0.21749116,0.19279313,0.18594378,0.1903646
gross_actual_interchange_mw,0.21451667,0.21094812,0.19540565,0.16889139,0.21023822
total_gen,0.20280346,0.20504259,0.20379335,0.18374847,0.2046121
metered_load_mw,0.1988076,0.19737251,0.20134242,0.20624521,0.19623223
total_losses,0.18407695,0.20612061,0.19951737,0.1911407,0.21914439
congestion_price_da,0.21228532,0.19161879,0.19170439,0.17546225,0.22892928
congestion_price_rt,0.20006372,0.20194677,0.19042805,0.19567566,0.21188582
marginal_loss_price_da,0.23355104,0.19231601,0.18886486,0.17655881,0.20870925
total_lmp_da,0.27118918,0.17283131,0.18707089,0.17300051,0.19590811
da_as_total_mw_primary_reserve,0.21132563,0.19286826,0.18892486,0.20267957,0.2042017
da_as_total_mw_synchronized_reserve,0.20248446,0.20234734,0.19534679,0.19965217,0.2001692
da_as_total_mw_thirty_minutes_reserve,0.22919321,0.19182898,0.18947782,0.18164748,0.2078525
