数据集,目标,口径,字段,中文名,r2,M0,M1,M2,估计M2,见证
PJM,metered_load_mw,A,gen_fuel_coal_mw,实际发电_煤,0.7382820397257535,0.7489304542541504,0.7597833871841431,0.7597833871841431,0.781082808971405,实际发电_光
PJM,metered_load_mw,A,gen_fuel_gas_mw,实际发电_气,0.8242237100588756,0.8441800475120544,0.8441800475120544,0.8441800475120544,0.8515723943710327,∅
PJM,metered_load_mw,A,gen_fuel_hydro_mw,实际发电_水,0.21145174067446712,0.3031615614891052,0.7938191294670105,0.7938191294670105,0.7900736331939697,发电占比_水
PJM,metered_load_mw,A,gen_fuel_multiple_fuels_mw,实际发电_多燃料,0.21635052054787468,0.2652645707130432,0.7775044441223145,0.7783414125442505,0.7834839820861816,发电占比_多燃料 + 净无意交换
PJM,metered_load_mw,A,gen_fuel_nuclear_mw,实际发电_核,0.319371524017339,0.5064746737480164,0.6192777752876282,0.6385073065757751,0.5934481024742126,实际发电_风 + 发电占比_多燃料
PJM,metered_load_mw,A,gen_fuel_oil_mw,实际发电_油,0.4698079743754442,0.534448504447937,0.5716899633407593,0.5716899633407593,0.55242520570755,实际发电_光
PJM,metered_load_mw,A,gen_fuel_other_renewables_mw,实际发电_其他可再生,0.08119706260470885,0.11420220136642456,0.38824743032455444,0.38824743032455444,0.3893025517463684,发电占比_其他可再生
PJM,metered_load_mw,A,gen_fuel_solar_mw,实际发电_光,0.004701119222838546,0.028274841606616974,0.6017394661903381,0.6048005819320679,0.6175966858863831,发电占比_光 + 指派调频量
PJM,metered_load_mw,A,gen_fuel_storage_mw,实际发电_储能,0.035402022543216956,0.04311835765838623,0.08669263124465942,0.09744284301996231,0.11193931102752686,实际发电_光 + 自调度调频量
PJM,metered_load_mw,A,gen_fuel_wind_mw,实际发电_风,0.03371409544695502,0.06133770942687988,0.7579398155212402,0.7579398155212402,0.7487311959266663,发电占比_风
PJM,metered_load_mw,A,gen_fuel_coal_pct,发电占比_煤,0.36907427596179415,0.4518030285835266,0.5135471820831299,0.5204854011535645,0.5352829694747925,实际发电_光 + 指派调频量
PJM,metered_load_mw,A,gen_fuel_gas_pct,发电占比_气,0.18171016909216134,0.2188916802406311,0.2864634096622467,0.3313077986240387,0.31840580701828003,实际发电_光 + 一级备用自供量
PJM,metered_load_mw,A,gen_fuel_hydro_pct,发电占比_水,0.05526185171747615,0.14664900302886963,0.6373065710067749,0.6373065710067749,0.6390588879585266,实际发电_水
PJM,metered_load_mw,A,gen_fuel_multiple_fuels_pct,发电占比_多燃料,0.04464413366739915,0.10041552782058716,0.6126554012298584,0.6337786912918091,0.6220853924751282,实际发电_多燃料 + 调频容量价
PJM,metered_load_mw,A,gen_fuel_nuclear_pct,发电占比_核,0.8260318763650019,0.8644257187843323,0.8644257187843323,0.8644257187843323,0.8680034279823303,∅
PJM,metered_load_mw,A,gen_fuel_oil_pct,发电占比_油,0.3607990909386587,0.40668296813964844,0.4543074071407318,0.4543074071407318,0.45378634333610535,实际发电_光
PJM,metered_load_mw,A,gen_fuel_other_renewables_pct,发电占比_其他可再生,0.4724500999460743,0.4909989833831787,0.7650442123413086,0.7650442123413086,0.7668028473854065,实际发电_其他可再生
PJM,metered_load_mw,A,gen_fuel_solar_pct,发电占比_光,0.011526109883116194,0.10556095838546753,0.6790255904197693,0.6790255904197693,0.709940493106842,实际发电_光
PJM,metered_load_mw,A,gen_fuel_wind_pct,发电占比_风,0.11224504296558598,0.15110808610916138,0.8477101922035217,0.8477101922035217,0.84517902135849,实际发电_风
PJM,metered_load_mw,A,forecast_load_mw_latest_available,最新负荷预测,0.9910371550167246,0.9909456372261047,0.9909456372261047,0.9909456372261047,0.9910790324211121,∅
PJM,metered_load_mw,A,forecast_load_mw_day_ahead,日前负荷预测,0.9815788191390274,0.9821904301643372,0.9821904301643372,0.9821904301643372,0.982375979423523,∅
PJM,metered_load_mw,A,rmccp,调频容量价,0.01050333917640267,0.056424498558044434,0.11158297955989838,0.15415850281715393,0.14674480259418488,实际发电_其他可再生 + 实际发电_光
PJM,metered_load_mw,A,rmpcp,调频性能价,0.001698860903817423,0.07256623357534409,0.09342239052057266,0.12135335803031921,0.10364735126495361,实际发电_风 + 发电占比_多燃料
PJM,metered_load_mw,A,total_pjm_loc_credit,调频机会成本补偿,0.02840525286705681,0.038625482469797134,0.06125330924987793,0.09093573689460754,0.0866076648235321,实际发电_其他可再生 + 实际发电_光
PJM,metered_load_mw,A,total_pjm_reg_purchases,调频购买量,0.012179940838091343,0.1252678632736206,0.197862446308136,0.2191665768623352,0.18891143798828125,实际发电_光 + 一级备用自供量
