数据集,目标,规则依据,口径,候选数,M0均值,M2均值,最大M0,最大M2,背景升级均值,K1饱和_M1除M2,τ0.5_单字段即危险,τ0.5_K2关键,τ0.5_单看安全组合危险,τ0.5_危险小组合,τ0.5_单字段定级后仍暴露,τ0.5_最少扣留,τ0.7_单字段即危险,τ0.7_K2关键,τ0.7_单看安全组合危险,τ0.7_危险小组合,τ0.7_单字段定级后仍暴露,τ0.7_最少扣留,τ0.9_单字段即危险,τ0.9_K2关键,τ0.9_单看安全组合危险,τ0.9_危险小组合,τ0.9_单字段定级后仍暴露,τ0.9_最少扣留,估计M2_MAE,认证下界比_top1,认证下界比_top3,排序Spearman
PJM,6.61 实际负荷（metered_load_mw）,附表 6.61 实际负荷,A,41,0.27731776237487793,0.45437711477279663,0.9909456372261047,0.9909456372261047,0.17705930769443512,0.9599765539169312,7,41,34,683,676,19,5,41,36,318,313,15,2,41,39,188,186,10,0.016909413039684296,0.9494829773902893,0.9767033457756042,0.9912891986062718
PJM,6.61 实际负荷（metered_load_mw）,附表 6.61 实际负荷,B,17,0.2689306139945984,0.3115549683570862,0.9909456372261047,0.9909456372261047,0.042624372988939285,0.9638409614562988,2,17,15,63,61,6,2,11,9,9,7,4,2,2,0,2,0,2,0.025424674153327942,0.9356895089149475,0.9796807169914246,0.965686274509804
PJM,6.57 发电总出力（total_gen）,附表 6.57 发电总出力,A,22,0.22250951826572418,0.265148401260376,0.9741891622543335,0.9741891622543335,0.042638856917619705,0.9610530734062195,2,21,19,86,84,6,2,18,16,18,16,4,2,2,0,2,0,2,0.025830090045928955,0.8594080209732056,0.9659388065338135,0.9107848673066066
PJM,6.57 发电总出力（total_gen）,附表 6.57 发电总出力,B,17,0.26218706369400024,0.3063379228115082,0.9741891622543335,0.9741891622543335,0.04415084049105644,0.9620167016983032,2,17,15,56,54,6,2,16,14,16,14,4,2,2,0,2,0,2,0.02511250227689743,0.9059997797012329,0.9840095043182373,0.9191176470588237
PJM,6.65 省间联络线输电情况（net_actual_interchange_mw）,附表 6.65 省间联络线输电情况,A,41,0.09445453435182571,0.29821932315826416,0.41228747367858887,0.5791391134262085,0.20376478135585785,0.669605016708374,0,39,39,363,363,8,0,16,16,15,15,3,0,0,0,0,0,0,0.024203630164265633,0.8955360651016235,0.9691226482391357,0.9679442508710803
PJM,6.65 省间联络线输电情况（net_actual_interchange_mw）,附表 6.65 省间联络线输电情况,B,17,0.11686024814844131,0.2084064930677414,0.41228747367858887,0.42856675386428833,0.09154625236988068,0.9059076309204102,0,17,17,37,37,2,0,3,3,1,1,1,0,0,0,0,0,0,0.01480515394359827,0.9828084111213684,0.9842196702957153,0.9730392156862747
CAISO,6.61 实际负荷（actual_load__mw__ca_iso_tac）,附表 6.61 实际负荷,A,41,0.22870059311389923,0.3890712261199951,0.8241048455238342,0.8639594912528992,0.16037069261074066,0.9466588497161865,8,41,33,404,396,18,3,41,38,573,570,12,0,41,41,422,422,6,0.013334004208445549,0.9707834124565125,0.9911323189735413,0.9864111498257843
CAISO,6.61 实际负荷（actual_load__mw__ca_iso_tac）,附表 6.61 实际负荷,B,25,0.268250435590744,0.446778804063797,0.8241048455238342,0.8551463484764099,0.1785283237695694,0.9579790234565735,5,25,20,157,152,14,3,25,22,142,139,9,0,25,25,221,221,6,0.013622882775962353,0.9809598326683044,0.9988924264907837,0.9861538461538462
