,一级备用需求,计划交换,30分钟备用需求,日前系统电能价,指派调频量,一级非同步备用量,调频购买量,最新负荷预测,日前负荷预测,实时网损价,自调度调频量,实时LMP
一级备用需求,0.41228747,0.37806267,0.14931059,0.36023837,0.3359316,0.28768104,0.25562453,0.3786891,0.37875706,0.41034466,0.3868877,0.40248415
计划交换,0.20056707,0.23479187,0.22371602,0.2710122,0.270769,0.1842523,0.2782055,0.1942482,0.19740903,0.3037851,0.23613459,0.28389615
30分钟备用需求,0.0,0.25190103,0.26297688,0.21985257,0.21566814,0.16856416,0.15968192,0.26347083,0.26413858,0.25945002,0.25698298,0.24947101
日前系统电能价,0.05170244,0.13997185,0.060627222,0.10375154,0.08301431,0.102480754,0.06393474,0.26007694,0.26165664,0.08292246,0.11478156,0.077288985
指派调频量,0.018405616,0.13073862,0.047452748,0.07402426,0.09476149,0.039341196,0.040095687,0.114260375,0.11393702,0.08529264,0.2164706,0.09526789
一级非同步备用量,0.12392819,0.19799507,0.1541219,0.24726385,0.19311434,0.24853463,0.17801207,0.20920986,0.20763993,0.19746444,0.22759107,0.21194477
调频购买量,0.020032167,0.22010875,0.07340014,0.13687831,0.122029305,0.10617255,0.17669511,0.17645669,0.17491907,0.1586591,0.20922911,0.16236395
最新负荷预测,0.036687434,0.029742122,0.07077974,0.2266112,0.08978468,0.030961022,0.07004738,0.0702858,0.015696824,0.18999761,0.07752538,0.1558879
日前负荷预测,0.03695321,0.033100784,0.07164532,0.22838873,0.089659154,0.029588923,0.068707585,0.015894651,0.070483625,0.19049609,0.07965857,0.15105313
实时网损价,0.036863983,0.10780001,0.03527993,0.017977715,0.029337943,-0.012263402,0.020770788,0.15851861,0.15881926,0.038806796,0.047151208,0.09175247
自调度调频量,0.0008265674,0.027569056,0.020232439,0.03725636,0.14793545,0.0052827746,0.058760345,0.033465922,0.035401285,0.034570754,0.026226342,0.04041785
实时LMP,0.026786536,0.085694134,0.023083985,0.010127306,0.037096262,0.0,0.022258699,0.122191966,0.11715937,0.089535534,0.05078137,0.03658986
