,日前负荷预测_sce,日前负荷计划_ecntr,日前负荷预测_CAISO,日前负荷预测_pge,日前负荷计划_north,日前负荷预测_sdge,日前负荷计划_south,辅助服务需求_spinning_reserve,日前电能价_sp15,辅助服务需求_regulation_down,日前LMP_zp26,日前新能源预测_sp15_solar
日前负荷预测_sce,0.82410485,0.027267873,0.10013038,0.2395224,0.1966418,0.386226,0.5517187,0.4555505,0.7387349,0.4677027,0.76035255,0.791713
日前负荷计划_ecntr,0.0060358047,0.8028728,0.07976407,0.22991806,0.18322134,0.36687642,0.5377435,0.44984078,0.7200403,0.46271396,0.7501519,0.785156
日前负荷预测_CAISO,0.036988318,0.037854075,0.7609628,0.21995568,0.14658082,0.3820727,0.547679,0.43636167,0.7184184,0.4721563,0.7569027,0.82149184
日前负荷预测_pge,0.035158813,0.046786547,0.07873416,0.61974126,0.054408073,0.21513397,0.39591712,0.36359847,0.589142,0.41855735,0.6485371,0.77332187
日前负荷计划_north,0.016927063,0.02473867,0.030008137,0.07905692,0.6443901,0.25918347,0.44769305,0.39743173,0.60759157,0.40550685,0.6561144,0.7627088
日前负荷预测_sdge,0.056904018,0.05878651,0.11589277,0.09017557,0.109576225,0.49478287,0.24289358,0.3155949,0.4786654,0.32280988,0.5291555,0.704823
日前负荷计划_south,0.046901643,0.05415851,0.106004,0.09546363,0.12259072,0.06739849,0.31928778,0.26329672,0.278535,0.2933305,0.3487718,0.6346767
辅助服务需求_spinning_reserve,0.05298555,0.06850791,0.09693879,0.16539711,0.17458153,0.24235195,0.36554885,0.4215399,0.52774614,0.2951122,0.50700885,0.5017026
日前电能价_sp15,0.05044228,0.052979767,0.09326786,0.10521299,0.099013686,0.11969477,0.095059454,0.24201846,0.13581222,0.17305559,0.37205368,0.42998582
辅助服务需求_regulation_down,0.07543653,0.09167987,0.1430322,0.23065478,0.19295543,0.2598657,0.4058814,0.30541098,0.46908206,0.4318387,0.44080204,0.4065612
日前LMP_zp26,0.049182475,0.060213864,0.10887468,0.1417306,0.12465906,0.1473074,0.1424188,0.19840372,0.34917623,0.121898115,0.11293477,0.35589737
日前新能源预测_sp15_solar,0.06844193,0.08311701,0.16136283,0.25441438,0.21915245,0.31087393,0.4162227,0.18099648,0.39500737,0.07555628,0.34379637,0.10083378
