,最新负荷预测,日前负荷预测,日前系统电能价,一级非同步备用量,实时网损价,一级备用需求,实时LMP,30分钟备用需求,日前同步备用价,一级备用自供量,日前一级备用价,调频购买量
最新负荷预测,0.97418916,0.0060278177,0.5932576,0.57479763,0.64938366,0.7420424,0.691022,0.82320076,0.8593598,0.864422,0.86338,0.84915406
日前负荷预测,0.0,0.96816134,0.5861246,0.5688815,0.6430013,0.7364253,0.6846129,0.8172074,0.85303867,0.8584556,0.8568484,0.8432707
日前系统电能价,0.004214883,0.0031096935,0.38514644,0.29620823,0.102905095,0.3952284,0.12903392,0.43038207,0.3518358,0.32483077,0.3374306,0.3621453
一级非同步备用量,0.004179895,0.004291594,0.31463325,0.40357146,0.29007113,0.35844105,0.33016384,0.39030904,0.40878475,0.37565416,0.37748525,0.33808145
实时网损价,0.00093358755,0.0005790591,0.04349774,0.21223876,0.3257391,0.32576287,0.124364674,0.3530339,0.25761575,0.28468776,0.25003278,0.3159814
一级备用需求,0.00713259,0.007543266,0.24936128,0.19414893,0.23930311,0.23927933,0.24916857,0.08351624,0.27267596,0.266774,0.24865383,0.21664223
实时LMP,0.0011433363,0.0007620454,0.028198004,0.2109029,0.08293611,0.29419976,0.28431052,0.31557006,0.21685588,0.23352666,0.20276356,0.25816327
30分钟备用需求,0.0047746897,0.004809141,0.20099872,0.14250067,0.1830579,0.0,0.18702263,0.15576309,0.19932422,0.21368225,0.17703909,0.16186523
日前同步备用价,0.0013301969,0.0010368824,0.08284891,0.12137285,0.048036218,0.14955619,0.048704922,0.15972069,0.11615956,0.061650455,0.0242064,0.07823284
一级备用自供量,0.0010194778,0.0010808706,0.05047095,0.08286929,0.06973529,0.13828129,0.060002744,0.16870576,0.0562775,0.1107866,0.051209122,0.100782394
日前一级备用价,0.0010175705,0.00051379204,0.064110875,0.08574051,0.036120415,0.12120122,0.030279756,0.13310272,0.01987356,0.052249238,0.11182672,0.07480818
调频购买量,0.0036545396,0.0037990212,0.10568851,0.06319964,0.11893195,0.10605255,0.1025424,0.13479179,0.09076293,0.11868544,0.09167111,0.12868965
