target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,16,0.1722833812236786,0.17313037812709808,0.17849402129650116,0.2911781370639801,0.18491411209106445
gross_actual_interchange_mw,18,0.17187802493572235,0.15725868940353394,0.156313955783844,0.36102133989334106,0.15352801978588104
total_gen,28,0.19231736660003662,0.19200876355171204,0.19272980093955994,0.23475177586078644,0.18819227814674377
metered_load_mw,27,0.19115611910820007,0.18734978139400482,0.1974659562110901,0.2353573590517044,0.18867076933383942
total_losses,24,0.18176044523715973,0.15993501245975494,0.16727006435394287,0.327308714389801,0.16372565925121307
congestion_price_da,8,0.16139724850654602,0.15287555754184723,0.17252056300640106,0.2456451952457428,0.2675614655017853
congestion_price_rt,11,0.17869706451892853,0.18175412714481354,0.18141943216323853,0.24563632905483246,0.21249307692050934
marginal_loss_price_da,21,0.20400597155094147,0.18203480541706085,0.19100557267665863,0.24208128452301025,0.18087238073349
total_lmp_da,32,0.19624949991703033,0.19354048371315002,0.20375624299049377,0.21329472959041595,0.1931590437889099
da_as_total_mw_primary_reserve,11,0.23970888555049896,0.18528804183006287,0.215630903840065,0.1775229424238205,0.18184924125671387
da_as_total_mw_synchronized_reserve,8,0.1856270283460617,0.18151985108852386,0.1950988918542862,0.25565144419670105,0.18210279941558838
da_as_total_mw_thirty_minutes_reserve,18,0.16835922002792358,0.20201128721237183,0.190396249294281,0.26998192071914673,0.16925130784511566
