feature,gate,pearson,spearman,kendall,nmi,distance_corr
marginal_loss_price_rt,0.71231115,0.47756615,0.5418817,0.39647284,1.0,0.6216528
total_lmp_rt,0.6951655,0.5835937,0.56465024,0.3840489,0.529337,0.6403092
rmccp,0.6781513,0.3064737,0.40734336,0.2945234,1.0,0.45069942
total_pjm_rmccp_cr,0.654144,0.30643272,0.40161803,0.26965594,0.6079105,0.45053664
system_energy_price_da,0.6410749,0.4369752,0.44828734,0.3208394,0.09468808,0.49051127
gen_fuel_oil_mw,0.61609584,0.42625293,0.30509555,0.21514001,0.074183196,0.38762948
gen_fuel_oil_pct,0.6139648,0.37137887,0.30571333,0.24196972,0.06134031,0.39537323
gen_fuel_multiple_fuels_mw,0.60961884,0.3253034,0.3402275,0.2235448,0.07349953,0.34474495
forecast_load_mw_latest_available,0.6071548,0.3023129,0.33861482,0.2291356,0.086491376,0.31583583
gen_fuel_gas_mw,0.60390425,0.28376815,0.3342927,0.22597308,0.076455295,0.30216786
gen_fuel_nuclear_pct,0.6017304,0.2911279,0.3247798,0.22346681,0.04600314,0.3027257
gen_fuel_other_renewables_pct,0.6001766,0.24222936,0.30612385,0.26224133,0.043119345,0.31437987
forecast_load_mw_day_ahead,0.5956985,0.2426503,0.31393576,0.21494608,0.052423585,0.2741512
gen_fuel_coal_mw,0.5926385,0.24158444,0.2973495,0.19131564,0.068920694,0.2542485
gen_fuel_multiple_fuels_pct,0.5922765,0.25287336,0.25861314,0.21721247,0.03525895,0.2858149
gen_fuel_storage_mw,0.58510786,0.20124874,0.21768521,0.22748964,0.035978433,0.2644606
da_as_mcp_synchronized_reserve,0.5801922,0.24625084,0.18141367,0.11198049,0.122434825,0.21344851
da_as_mcp_primary_reserve,0.57976705,0.25985095,0.17414096,0.1467189,0.028515996,0.25503212
total_pjm_reg_purchases,0.57608134,0.18426341,0.21754438,0.14974582,0.045754142,0.21085888
total_pjm_loc_credit,0.5750704,0.16875884,0.16418235,0.118259065,0.10507724,0.24110259
gen_fuel_hydro_mw,0.5724034,0.22015703,0.1588942,0.111335196,0.022440007,0.23959862
gen_fuel_coal_pct,0.57038844,0.118305095,0.22039162,0.14830217,0.043880947,0.19207089
gross_inadv_interchange_mw,0.5675682,0.118544415,0.22818947,0.13808988,0.027755708,0.16704985
gen_fuel_gas_pct,0.56251657,0.08752327,0.19391115,0.13803886,0.036070865,0.15308847
total_pjm_assigned_reg,0.5597132,0.14344648,0.15488006,0.1026728,0.015431253,0.15044563
gen_fuel_hydro_pct,0.5580303,0.14148138,0.12742127,0.06960285,0.037860546,0.16586688
gen_fuel_nuclear_mw,0.5482728,0.034465067,0.12459621,0.054334827,0.081679314,0.10693434
da_as_ss_mw_primary_reserve,0.54648256,0.07295237,0.12860474,0.054025527,0.05171386,0.06841956
da_as_ss_mw_thirty_minutes_reserve,0.54594624,0.06989787,0.11839272,0.06407135,0.0380595,0.07770468
da_as_ss_mw_synchronized_reserve,0.54413724,0.038104475,0.08921704,0.08285565,0.04063354,0.09386543
gross_sched_interchange_mw,0.5433577,0.052025866,0.13327706,0.03505571,0.009334389,0.09342818
net_inadv_interchange_mw,0.5433561,0.036534823,0.08459038,0.08590025,0.02350808,0.10170412
gen_fuel_solar_mw,0.5389665,0.0016024662,0.056909338,0.058495346,0.040886078,0.11023625
da_as_as_req_mw_primary_reserve,0.5380938,0.05918624,0.06252888,0.04069501,0.030126225,0.0632024
gen_fuel_wind_pct,0.53781986,0.02161554,0.07937141,0.05395989,0.02332578,0.07171478
da_as_as_req_mw_thirty_minutes_reserve,0.53646606,0.026593104,0.03584611,0.0630357,0.022160036,0.086353995
gen_fuel_solar_pct,0.536264,0.0010824642,0.08166204,0.017036423,0.024842577,0.09756579
rmpcp,0.53459525,0.011783393,0.04542479,0.027139965,0.04330476,0.0767064
da_as_nsr_mw_primary_reserve,0.53439933,0.03915619,0.013330318,0.02351461,0.071916595,0.05936471
da_as_as_req_mw_synchronized_reserve,0.53161955,0.032857887,0.037294663,0.0049829404,0.0371018,0.048621703
gen_fuel_other_renewables_mw,0.53116125,0.026012873,0.015413199,0.027503124,0.025186086,0.062303144
total_pjm_rmpcp_cr,0.5307586,0.00661193,0.05023803,0.0036577673,0.020890627,0.06334006
gen_fuel_wind_mw,0.53004605,0.009513702,0.029698256,0.04175513,0.0,0.057399444
total_pjm_self_sched_reg,0.52896345,0.019892527,0.020096948,0.020296408,0.014595163,0.048241287
gen_fuel_storage_pct,0.5204559,0.0,0.0,0.0,0.0,0.0
da_as_mcp_thirty_minutes_reserve,0.5204559,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_primary_reserve,0.5204559,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_synchronized_reserve,0.5204559,0.0,0.0,0.0,0.0,0.0
da_as_ircmwt2_thirty_minutes_reserve,0.5204559,0.0,0.0,0.0,0.0,0.0
