confidential_field,test_r2
metered_load_mw,0.9901702404022217
total_gen,0.9887751936912537
total_lmp_da,0.9838141202926636
da_as_total_mw_primary_reserve,0.9501702189445496
da_as_total_mw_synchronized_reserve,0.9182997345924377
total_losses,0.8838368654251099
da_as_total_mw_thirty_minutes_reserve,0.8835932016372681
net_actual_interchange_mw,0.8690831661224365
marginal_loss_price_da,0.8437802791595459
gross_actual_interchange_mw,0.8264660835266113
congestion_price_da,0.6738569736480713
congestion_price_rt,0.6725775003433228
