target_field,n_valid_sources,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,9,0.19986625015735626,0.200082927942276,0.1999339610338211,0.20011590421199799,0.20000091195106506
gross_actual_interchange_mw,11,0.20010624825954437,0.199836865067482,0.19996251165866852,0.19998951256275177,0.20010489225387573
total_gen,28,0.19353850185871124,0.1924431473016739,0.19543182849884033,0.22890324890613556,0.1896832287311554
metered_load_mw,27,0.19339969754219055,0.18939927220344543,0.19851061701774597,0.22860243916511536,0.1900879144668579
total_losses,19,0.1640346497297287,0.16133703291416168,0.16301056742668152,0.3523252010345459,0.1592925637960434
congestion_price_da,8,0.17456308007240295,0.15874013304710388,0.1678423136472702,0.2441677302122116,0.25468674302101135
congestion_price_rt,11,0.19360527396202087,0.18237687647342682,0.20781360566616058,0.20170317590236664,0.2145010381937027
marginal_loss_price_da,21,0.19559061527252197,0.18742983043193817,0.2007853388786316,0.22929278016090393,0.18690147995948792
total_lmp_da,32,0.19055646657943726,0.18397733569145203,0.2063225656747818,0.2376219481229782,0.1815216839313507
da_as_total_mw_primary_reserve,11,0.24378718435764313,0.18234974145889282,0.22124724090099335,0.17357507348060608,0.17904072999954224
da_as_total_mw_synchronized_reserve,8,0.18325002491474152,0.17684303224086761,0.18940621614456177,0.2696200907230377,0.180880606174469
da_as_total_mw_thirty_minutes_reserve,18,0.17533305287361145,0.20457731187343597,0.19262008368968964,0.2534264028072357,0.17404313385486603
