数据集,估计器,规模,V_MAE,偏差
pjm,raw+x² ridge,1,0.030004524,-0.028101005
pjm,raw+x² ridge,2,0.06176106,-0.05961189
pjm,raw+x² ridge,3,0.09216874,-0.09036908
pjm,共享输出头（direct）,1,0.033442263,-0.032417983
pjm,共享输出头（direct）,2,0.06379961,-0.062132567
pjm,共享输出头（direct）,3,0.091410406,-0.08961054
pjm,"φ+x,x²（单种子）",1,0.0111533,-0.004482453
pjm,"φ+x,x²（单种子）",2,0.020983994,-0.012469711
pjm,"φ+x,x²（单种子）",3,0.03268651,-0.024717959
pjm,"φ+x,x²（三种子集成）",1,0.01065323,-0.0043299794
pjm,"φ+x,x²（三种子集成）",2,0.01911369,-0.009832302
pjm,"φ+x,x²（三种子集成）",3,0.02827164,-0.018695926
caiso,raw+x² ridge,1,0.024276622,-0.022876754
caiso,raw+x² ridge,2,0.048506927,-0.047979094
caiso,raw+x² ridge,3,0.06928332,-0.0690088
caiso,共享输出头（direct）,1,0.027342001,-0.026562266
caiso,共享输出头（direct）,2,0.052284904,-0.05183791
caiso,共享输出头（direct）,3,0.07205995,-0.07169001
caiso,"φ+x,x²（单种子）",1,0.0067264014,-0.001043537
caiso,"φ+x,x²（单种子）",2,0.011982995,-0.006809644
caiso,"φ+x,x²（单种子）",3,0.018006245,-0.014565292
caiso,"φ+x,x²（三种子集成）",1,0.0065275556,-0.00065846846
caiso,"φ+x,x²（三种子集成）",2,0.011120595,-0.00528815
caiso,"φ+x,x²（三种子集成）",3,0.015605437,-0.01100837
