来源,note,ms
100,caiso_k3 L0,3.114380295758812
100,caiso_k3 L0ensx,35.21128554137348
100,caiso_k3 direct,0.3259054941753128
100,pjm_k3 L0,2.3776885719503844
100,pjm_k3 L0ensx,28.014922941755497
100,pjm_k3 L1x,4.3142431180180285
100,pjm_k3 direct,0.33180579530613097
102,caiso_k3 multix,5.643018361845601
102,caiso_k3 single t0,5.160916538146055
102,caiso_k3 single t1,4.93134408667647
102,caiso_k3 single t10,4.971646924221534
102,caiso_k3 single t11,5.03490313436281
102,caiso_k3 single t2,5.071306318534341
102,caiso_k3 single t3,4.990458011862338
102,caiso_k3 single t4,4.971896666728354
102,caiso_k3 single t5,4.916483718311219
102,caiso_k3 single t6,4.904555506720196
102,caiso_k3 single t7,4.977702665377344
102,caiso_k3 single t8,5.055632383078954
102,caiso_k3 single t9,5.015329754822162
102,caiso_k3 single_nophi t0,0.8328848587750316
102,caiso_k3 single_nophi t1,0.8082445761438715
102,caiso_k3 single_nophi t10,0.8160498768699852
102,caiso_k3 single_nophi t11,0.8409022028492785
102,caiso_k3 single_nophi t2,0.7953275386756475
102,caiso_k3 single_nophi t3,0.7971516155287756
102,caiso_k3 single_nophi t4,0.7957120466222042
102,caiso_k3 single_nophi t5,0.7994749921817284
102,caiso_k3 single_nophi t6,0.7999690715371726
102,caiso_k3 single_nophi t7,0.8092645756283255
102,caiso_k3 single_nophi t8,0.8133129560308853
102,caiso_k3 single_nophi t9,0.8340547221384007
102,pjm_k3 multix,4.42555736881944
102,pjm_k3 single t0,3.8241379402831988
102,pjm_k3 single t1,3.863315496186043
102,pjm_k3 single t10,3.8458938614885763
102,pjm_k3 single t11,3.881775631867212
102,pjm_k3 single t2,3.895441889468683
102,pjm_k3 single t3,3.9266482261166717
102,pjm_k3 single t4,3.9087563531134415
102,pjm_k3 single t5,3.8710747849700637
102,pjm_k3 single t6,3.943318603312741
102,pjm_k3 single t7,3.8703831696583855
102,pjm_k3 single t8,3.874672056888923
102,pjm_k3 single t9,3.817178108097252
102,pjm_k3 single_nophi t0,0.6445531522790343
102,pjm_k3 single_nophi t1,0.63185027049844
102,pjm_k3 single_nophi t10,0.6582076185861347
102,pjm_k3 single_nophi t11,0.6642296478368234
102,pjm_k3 single_nophi t2,0.6785340382209147
102,pjm_k3 single_nophi t3,0.662737389839857
102,pjm_k3 single_nophi t4,0.6803839195981669
102,pjm_k3 single_nophi t5,0.6862514937482026
102,pjm_k3 single_nophi t6,0.6495678231927046
102,pjm_k3 single_nophi t7,0.6482800673499982
102,pjm_k3 single_nophi t8,0.6463123846023989
102,pjm_k3 single_nophi t9,0.636818004915016
103,caiso_k3 mask-bern50,5.621242655247244
103,caiso_k3 mask-none,5.625733563201184
103,caiso_k3 raw,0.3233829555220098
103,caiso_k3 raw2,0.7022087723169763
103,caiso_k3 rff,26.178318810020386
103,pjm_k3 mask-bern50,4.351730155206943
103,pjm_k3 mask-none,4.3502422565615175
103,pjm_k3 raw,0.23793842455559133
103,pjm_k3 raw2,0.525367961511468
103,pjm_k3 rff,20.505844827608513
