数据集,估计器,V_MAE,V偏差,Spearman,危险漏判,边际MAE,边际q95,M_MAE_K1,Kendall_K1,档位一致_K1,见证召回_K1,M_MAE_K2,Kendall_K2,档位一致_K2,见证召回_K2
pjm,raw ridge,0.12303048,-0.12196273,0.825767047552692,0.34895797272034895,0.050944567,0.16763905,0.091732875,0.6772298490925693,0.4817073170731707,0.5142276422764228,0.11851721,0.6790650406504065,0.37601626016260165,0.15447154471544716
pjm,raw+x² ridge,0.08978328,-0.087958366,0.8677423107799705,0.29003669597729004,0.04223736,0.1332335,0.07000833,0.7338751423477842,0.5934959349593496,0.5833333333333334,0.095074214,0.7218812876669105,0.4817073170731707,0.18902439024390244
pjm,随机特征 ridge,0.044131305,-0.037977353,0.921529648378785,0.17856401024717855,0.030114759,0.10294509,0.06385398,0.6786993482575809,0.717479674796748,0.5203252032520326,0.08323856,0.661769669619254,0.7052845528455285,0.21951219512195122
pjm,共享输出头（direct）,0.08923893,-0.08745127,0.8710561044041127,0.3355950979713356,0.04025195,0.12771778,0.086811304,0.6347560975609755,0.5873983739837398,0.4369918699186992,0.11794383,0.6115853658536585,0.4634146341463415,0.1524390243902439
pjm,φ ridge,0.03188535,-0.023829585,0.9531279449149888,0.151007408433151,0.023822471,0.07932603,0.02329799,0.8306910569105691,0.8943089430894309,0.6686991869918699,0.036315948,0.7763513438107266,0.8556910569105691,0.3821138211382114
pjm,"φ+x,x²（单种子）",0.03177696,-0.023774184,0.9531204994047946,0.14976112995914975,0.023852214,0.079579875,0.02544204,0.8160569105691056,0.8739837398373984,0.6605691056910569,0.03208545,0.7949186991869919,0.8739837398373984,0.3983739837398374
pjm,"φ+x,x²（三种子集成）",0.027557133,-0.01801394,0.9597793074624934,0.1258048881811258,0.021662446,0.072773494,0.028051043,0.7996479528471245,0.8638211382113821,0.6097560975609756,0.029696457,0.8065040650406504,0.8739837398373984,0.3516260162601626
pjm,"元训练 φ+x,x²",0.033027455,-0.025469242,0.9497989951555944,0.15135359689815137,0.023850651,0.080705814,0.022959143,0.8438351121794598,0.8943089430894309,0.7459349593495935,0.031843137,0.814153492811517,0.8678861788617886,0.4349593495934959
pjm,掩码消融：无掩码,0.03284646,-0.02568671,0.9534082484093536,0.1586235546631586,0.024691092,0.082910664,0.029798662,0.7739837398373983,0.8556910569105691,0.6747967479674797,0.041436218,0.7674399038095228,0.790650406504065,0.34959349593495936
pjm,掩码消融：Bernoulli,0.030755393,-0.022431351,0.9555259215136397,0.14955341688014956,0.023413198,0.07852431,0.02368209,0.827439024390244,0.8963414634146342,0.6849593495934959,0.035547275,0.7890636252263272,0.8495934959349594,0.3821138211382114
pjm,"single-target φ+x,x²（102 号）",0.040337157,-0.034853972,0.9382630500341539,0.19164993422419166,0.028293137,0.090930685,0.041383382,0.760906918387172,0.7886178861788617,0.5833333333333334,0.052595936,0.7538617886178862,0.782520325203252,0.3617886178861789
caiso,raw ridge,0.104088865,-0.10399344,0.9107155333655951,0.4034844907595864,0.039011315,0.12178238,0.056657977,0.8028455284552846,0.7032520325203252,0.5934959349593496,0.06635201,0.7945121951219513,0.6219512195121951,0.2804878048780488
caiso,raw+x² ridge,0.06764442,-0.06734785,0.9413119792295896,0.25836522022307257,0.030171389,0.09167981,0.043703083,0.8471544715447155,0.7621951219512195,0.7398373983739838,0.05806974,0.832520325203252,0.6402439024390244,0.4532520325203252
caiso,随机特征 ridge,0.020415857,-0.017490858,0.9694898764125722,0.05324432141984857,0.015292468,0.054081473,0.025329238,0.8932926829268292,0.8882113821138211,0.8475609756097561,0.033990588,0.8658536585365854,0.8638211382113821,0.4735772357723577
caiso,共享输出头（direct）,0.07049334,-0.07011645,0.9480467792820093,0.2871855409916144,0.029648528,0.09063667,0.04488282,0.857520325203252,0.7764227642276422,0.6544715447154471,0.058129136,0.8459349593495934,0.6626016260162602,0.35772357723577236
caiso,φ ridge,0.017816558,-0.014344809,0.9742474641923523,0.046242774566473986,0.014064005,0.05014568,0.010803159,0.9313008130081301,0.9471544715447154,0.9471544715447154,0.018403066,0.913821138211382,0.8882113821138211,0.7317073170731707
caiso,"φ+x,x²（单种子）",0.017537404,-0.013965167,0.9744477775829695,0.04546934787918261,0.013848963,0.049734697,0.010708077,0.9304878048780486,0.9451219512195121,0.9471544715447154,0.018000374,0.9101626016260163,0.9024390243902439,0.7134146341463414
caiso,"φ+x,x²（三种子集成）",0.015253926,-0.010564405,0.9776611483768516,0.03826426768704714,0.012395613,0.045823876,0.009288284,0.939430894308943,0.9552845528455285,0.967479674796748,0.01413184,0.9254065040650407,0.9308943089430894,0.741869918699187
caiso,掩码消融：无掩码,0.017791975,-0.01462569,0.975315529396048,0.0467719612472523,0.013747571,0.047845438,0.011061293,0.9302845528455285,0.9471544715447154,0.967479674796748,0.018380703,0.9123983739837397,0.8983739837398373,0.7479674796747967
caiso,掩码消融：Bernoulli,0.017364196,-0.013719663,0.9746339682334049,0.046487014572987054,0.013789834,0.04897961,0.011146508,0.9276422764227644,0.9471544715447154,0.9532520325203252,0.018373387,0.9085365853658535,0.9227642276422764,0.693089430894309
caiso,"single-target φ+x,x²（102 号）",0.02303274,-0.020929188,0.9700138135215446,0.06757306846861516,0.016696353,0.055667523,0.013919586,0.9150406504065041,0.9288617886178862,0.9390243902439024,0.023003548,0.8847560975609756,0.8841463414634146,0.5873983739837398
