数据集,规模,单目标DNN被选中,多目标DNN被选中,树模型被选中,正式真值均值,仅多目标DNN均值,正式减仅多目标
pjm,1,0.41260162601626016,0.266260162601626,0.32113821138211385,0.14429637789726257,0.13499343395233154,0.00930294394493103
pjm,2,0.40965447154471546,0.15680894308943089,0.43353658536585366,0.26739126443862915,0.2496122568845749,0.01777900755405426
pjm,3,0.3527829893683552,0.09520794246404002,0.5520090681676048,0.37142375111579895,0.3447292447090149,0.026694506406784058
caiso,1,0.508130081300813,0.23983739837398374,0.25203252032520324,0.18195797502994537,0.17667725682258606,0.005280718207359314
caiso,2,0.5349593495934959,0.13191056910569104,0.333130081300813,0.32477667927742004,0.3140340745449066,0.010742604732513428
caiso,3,0.5044949968730457,0.06545497185741088,0.43005003126954344,0.43110454082489014,0.4155861437320709,0.015518397092819214
