target_field,pearson,spearman,kendall,nmi,distance_corr
net_actual_interchange_mw,0.19985808,0.19938876,0.20012987,0.19995475,0.20066866
gross_actual_interchange_mw,0.1995193,0.1997294,0.1997615,0.20129015,0.1996997
total_gen,0.20909254,0.2019533,0.21039629,0.17719805,0.2013598
metered_load_mw,0.18701436,0.18718357,0.19829783,0.24234283,0.18516135
total_losses,0.18876354,0.19676849,0.19873342,0.20877008,0.20696446
congestion_price_da,0.20705628,0.19262603,0.1930335,0.1809563,0.22632785
congestion_price_rt,0.19432569,0.20027636,0.19217518,0.20528616,0.20793666
marginal_loss_price_da,0.22804743,0.1870529,0.19020484,0.18482922,0.20986554
total_lmp_da,0.31627887,0.15486027,0.17580004,0.16980965,0.18325105
da_as_total_mw_primary_reserve,0.21655306,0.18708232,0.17649329,0.21161947,0.20825186
da_as_total_mw_synchronized_reserve,0.13501352,0.12878533,0.1304914,0.4684729,0.13723676
da_as_total_mw_thirty_minutes_reserve,0.22123647,0.19788043,0.19138148,0.17747469,0.21202692
