数据集,目标,集合,真值V,不安全,相关性放行,单字段放行,预算放行,预算放行_估计,逐阶预算放行,直接估计放行
pjm,total_gen,gen_fuel_wind_mw+gen_fuel_nuclear_p+da_as_mcp_primary_,0.8753330111503601,True,False,False,False,False,False,False
pjm,total_gen,gen_fuel_hydro_pct+gen_fuel_oil_pct+total_pjm_loc_cred,0.4437096118927002,False,False,True,False,False,True,True
pjm,total_gen,gen_fuel_nuclear_m+gen_fuel_other_ren+da_as_mcp_synchron,0.85433030128479,True,False,True,False,False,False,False
pjm,total_gen,gen_fuel_other_ren+gross_sched_interc+gross_inadv_interc,0.6060069799423218,False,False,True,False,False,False,True
pjm,total_gen,gen_fuel_storage_m+da_as_as_req_mw_th+da_as_nsr_mw_prima,0.5598004460334778,False,True,True,False,False,True,True
pjm,total_gen,gen_fuel_coal_pct+gen_fuel_wind_pct+gross_sched_interc,0.5916950106620789,False,False,True,False,False,False,True
pjm,total_gen,gen_fuel_oil_mw+da_as_mcp_primary_+da_as_as_req_mw_pr,0.6888365745544434,False,False,True,False,False,False,True
pjm,total_gen,gen_fuel_coal_mw+gen_fuel_storage_m+gross_sched_interc,0.8023941516876221,True,False,False,False,False,False,False
pjm,total_gen,gen_fuel_nuclear_m+gen_fuel_other_ren+gen_fuel_multiple_,0.8280242085456848,True,False,True,False,False,False,False
pjm,total_gen,gen_fuel_multiple_+gen_fuel_multiple_+total_lmp_rt,0.9239197969436646,True,True,True,False,False,False,False
pjm,total_gen,total_pjm_reg_purc+da_as_mcp_synchron+total_lmp_rt,0.4218830466270447,False,True,True,False,False,True,True
pjm,total_gen,gen_fuel_oil_mw+gen_fuel_storage_m+total_pjm_loc_cred,0.5368225574493408,False,False,True,False,False,True,True
pjm,total_gen,gen_fuel_coal_pct+total_pjm_loc_cred+total_lmp_rt,0.5972011089324951,False,False,True,False,False,False,True
pjm,total_gen,gen_fuel_multiple_+da_as_ss_mw_primar+net_inadv_intercha,0.23742546141147614,False,True,True,False,False,True,True
pjm,total_gen,gen_fuel_oil_mw+total_pjm_rmccp_cr+da_as_mcp_synchron,0.5524237155914307,False,False,True,False,False,False,True
pjm,total_gen,rmccp+system_energy_pric+total_lmp_rt,0.44704669713974,False,False,True,False,False,False,True
pjm,total_gen,gen_fuel_solar_mw+gen_fuel_gas_pct+da_as_ss_mw_primar,0.4826735258102417,False,True,True,False,False,True,True
pjm,total_gen,gen_fuel_gas_mw+gen_fuel_multiple_+gross_sched_interc,0.8882291316986084,True,False,False,False,False,False,False
pjm,total_gen,gen_fuel_coal_pct+da_as_as_req_mw_th+system_energy_pric,0.7703418731689453,True,False,True,False,False,False,False
pjm,total_gen,gen_fuel_hydro_pct+total_pjm_reg_purc+total_pjm_rmccp_cr,0.33285701274871826,False,True,True,False,False,True,True
pjm,total_gen,gen_fuel_coal_pct+gen_fuel_gas_pct+gen_fuel_multiple_,0.6788091063499451,False,False,True,False,False,False,True
pjm,total_gen,gen_fuel_multiple_+da_as_mcp_synchron+da_as_ss_mw_primar,0.28787198662757874,False,True,True,False,False,True,True
pjm,total_gen,gen_fuel_solar_mw+gen_fuel_storage_m+gen_fuel_oil_pct,0.4582090377807617,False,False,True,False,False,True,True
pjm,total_gen,total_pjm_assigned+da_as_ss_mw_primar+marginal_loss_pric,0.45937633514404297,False,True,True,True,False,True,True
pjm,total_gen,da_as_nsr_mw_prima+net_inadv_intercha+gross_inadv_interc,0.5078394412994385,False,True,True,False,False,True,True
pjm,total_gen,gen_fuel_hydro_mw+gen_fuel_multiple_+gen_fuel_nuclear_p,0.8892413377761841,True,False,False,False,False,False,False
pjm,total_gen,gen_fuel_solar_mw+gen_fuel_nuclear_p+total_pjm_rmpcp_cr,0.8835225701332092,True,False,False,False,False,False,False
pjm,total_gen,gen_fuel_nuclear_p+rmccp+total_pjm_self_sch,0.8701401352882385,True,False,False,False,False,False,False
pjm,total_gen,gen_fuel_hydro_mw+gen_fuel_nuclear_m+total_pjm_assigned,0.7370093464851379,True,False,True,False,False,False,True
pjm,total_gen,gen_fuel_hydro_pct+forecast_load_mw_l+gross_inadv_interc,0.9762837290763855,True,False,False,False,False,False,False
