数据集,目标,审查规则,放行率,危险放行率,放行集合中不安全占比,误拒率,不安全集合数,集合总数
caiso,actual_load__mw__ca_iso_tac,相关性放行,0.4085,0.031504065040650404,0.037943696450428395,0.2263779527559055,984,2000
caiso,actual_load__mw__ca_iso_tac,单字段放行,0.7855,0.5640243902439024,0.3532781667727562,0.0,984,2000
caiso,actual_load__mw__ca_iso_tac,预算放行,0.132,0.0,0.0,0.7401574803149606,984,2000
caiso,actual_load__mw__ca_iso_tac,预算放行_估计,0.1555,0.0,0.0,0.6938976377952756,984,2000
caiso,actual_load__mw__ca_iso_tac,逐阶预算放行,0.3415,0.0,0.0,0.327755905511811,984,2000
caiso,actual_load__mw__ca_iso_tac,直接估计放行,0.5205,0.026422764227642278,0.024975984630163303,0.000984251968503937,984,2000
pjm,total_gen,相关性放行,0.379,0.021065675340768277,0.022427440633245383,0.3788767812238055,807,2000
pjm,total_gen,单字段放行,0.6735,0.19083023543990088,0.11432813659985153,0.0,807,2000
pjm,total_gen,预算放行,0.0815,0.0,0.0,0.8633696563285834,807,2000
pjm,total_gen,预算放行_估计,0.0635,0.0,0.0,0.8935456831517183,807,2000
pjm,total_gen,逐阶预算放行,0.3005,0.0,0.0,0.49622799664710815,807,2000
pjm,total_gen,直接估计放行,0.623,0.06567534076827757,0.04253611556982344,0.0,807,2000
