数据集,目标,字段,相关性,M0,M1,M2,估计M2,认证下界,风险档位,见证背景,见证下V,加入后V,critical,单字段critical
pjm,total_gen,da_as_as_req_mw_primary_reserve,0.3705926,0.2392793297767639,0.3560956716537475,0.3631930947303772,0.3423362672328949,0.2477630674839019,中,"gen_fuel_multiple_fuels_mw,rmccp",0.2045285701751709,0.5677216649055481,True,False
pjm,total_gen,da_as_as_req_mw_thirty_minutes_reserve,0.36501163,0.1557630896568298,0.2486444264650344,0.2859503030776977,0.3186026513576507,0.1636759936809539,中,"gen_fuel_multiple_fuels_mw,total_pjm_rmccp_cr",0.2067566514015197,0.4927069544792175,True,False
pjm,total_gen,da_as_mcp_primary_reserve,0.24652345,0.1118267178535461,0.2116286605596542,0.240818977355957,0.2427141666412353,0.2257817983627319,中,"gen_fuel_solar_mw,gross_sched_interchange_mw",0.1220440864562988,0.3628630638122558,True,False
pjm,total_gen,da_as_mcp_synchronized_reserve,0.2773173,0.1161595582962036,0.2328758835792541,0.2807249426841736,0.2872359156608581,0.2807249426841736,中,"gen_fuel_other_renewables_mw,gen_fuel_solar_mw",0.1594749093055725,0.4401998519897461,True,False
pjm,total_gen,da_as_nsr_mw_primary_reserve,0.085025266,0.4035714566707611,0.4087847471237182,0.4087847471237182,0.2818247377872467,0.4035714566707611,中,da_as_mcp_synchronized_reserve,0.1161595582962036,0.5249443054199219,True,False
pjm,total_gen,da_as_ss_mw_primary_reserve,0.08767973,0.1107866019010543,0.1687057614326477,0.1856933534145355,0.1750659346580505,0.1318995058536529,低,"gen_fuel_wind_mw,gen_fuel_multiple_fuels_pct",0.1310527920722961,0.3167461454868316,True,False
pjm,total_gen,forecast_load_mw_day_ahead,0.9826883,0.9681613445281982,0.9681613445281982,0.9681613445281982,0.9687658548355104,0.951598584651947,高,∅,0.0,0.9681613445281982,True,True
pjm,total_gen,forecast_load_mw_latest_available,0.98625666,0.9741891622543336,0.9741891622543336,0.9741891622543336,0.9751570820808412,0.9573643803596495,高,∅,0.0,0.9741891622543336,True,True
pjm,total_gen,gen_fuel_coal_mw,0.8571224,0.7639100551605225,0.773664653301239,0.773664653301239,0.7959878444671631,0.773664653301239,高,gen_fuel_solar_mw,0.0326418876647949,0.8063065409660339,True,True
pjm,total_gen,gen_fuel_coal_pct,0.59020793,0.4624258875846863,0.5248845815658569,0.5248845815658569,0.5492523908615112,0.5248845815658569,高,gen_fuel_solar_mw,0.0326418876647949,0.5575264692306519,True,False
pjm,total_gen,gen_fuel_gas_mw,0.9257094,0.8737059831619263,0.8737059831619263,0.8737059831619263,0.8811817765235901,0.8544664978981018,高,∅,0.0,0.8737059831619263,True,True
pjm,total_gen,gen_fuel_gas_pct,0.44517928,0.2302903532981872,0.2987540364265442,0.341312825679779,0.3435744345188141,0.341312825679779,中,"gen_fuel_solar_mw,da_as_ss_mw_primary_reserve",0.1413607150316238,0.4826735258102417,True,False
pjm,total_gen,gen_fuel_hydro_mw,0.4451007,0.2916744947433471,0.8268264532089233,0.8268264532089233,0.8227444887161255,0.8268264532089233,高,gen_fuel_hydro_pct,0.1328094601631164,0.9596359133720398,True,False
pjm,total_gen,gen_fuel_hydro_pct,0.21666488,0.1328094601631164,0.6679614186286926,0.6679614186286926,0.6704403758049011,0.6679614186286926,高,gen_fuel_hydro_mw,0.2916744947433471,0.9596359133720398,True,False
pjm,total_gen,gen_fuel_multiple_fuels_mw,0.4210902,0.2231592983007431,0.813475489616394,0.813475489616394,0.8171853423118591,0.813475489616394,高,gen_fuel_multiple_fuels_pct,0.0881053432822227,0.901580810546875,True,False
pjm,total_gen,gen_fuel_multiple_fuels_pct,0.15653498,0.0881053432822227,0.6784214973449707,0.6994613409042358,0.6872111558914185,0.6784214973449707,高,"gen_fuel_multiple_fuels_mw,rmccp",0.2045285701751709,0.9039899110794068,True,False
pjm,total_gen,gen_fuel_nuclear_mw,0.6040324,0.5590986609458923,0.6524624824523926,0.6588013172149658,0.6291972398757935,0.6524624824523926,高,"gen_fuel_wind_mw,gen_fuel_multiple_fuels_pct",0.1310527920722961,0.789854109287262,True,False
pjm,total_gen,gen_fuel_nuclear_pct,0.90268207,0.8589739799499512,0.8589739799499512,0.8589739799499512,0.8651487231254578,0.8468883037567139,高,∅,0.0,0.8589739799499512,True,True
pjm,total_gen,gen_fuel_oil_mw,0.6728787,0.5005558133125305,0.5392139554023743,0.5392139554023743,0.5217540264129639,0.5392139554023743,高,gen_fuel_solar_mw,0.0326418876647949,0.5718558430671692,True,False
pjm,total_gen,gen_fuel_oil_pct,0.5794309,0.3749648928642273,0.4176088869571686,0.4176088869571686,0.4184174239635467,0.4176088869571686,中,gen_fuel_solar_mw,0.0326418876647949,0.4502507746219635,True,False
pjm,total_gen,gen_fuel_other_renewables_mw,0.31222025,0.1254639029502868,0.4084997773170471,0.4084997773170471,0.4095398187637329,0.4003713130950928,中,gen_fuel_other_renewables_pct,0.4951887726783752,0.9036885499954224,True,False
pjm,total_gen,gen_fuel_other_renewables_pct,0.6820617,0.4951887726783752,0.7782246470451355,0.7782246470451355,0.7788240909576416,0.7782246470451355,高,gen_fuel_other_renewables_mw,0.1254639029502868,0.9036885499954224,True,False
pjm,total_gen,gen_fuel_solar_mw,0.090957254,0.0326418876647949,0.6429780125617981,0.6429780125617981,0.6333956122398376,0.6429780125617981,高,gen_fuel_solar_pct,0.0968382954597473,0.7398163080215454,True,False
