order,kind,n,real_p50,null_p50,real_max,null_max,null_p999,real>0.05,null>0.05,fdr>0.05,real>0.1,null>0.1,fdr>0.1,real>0.15,null>0.15,fdr>0.15,real>0.2,null>0.2,fdr>0.2,real>0.3,null>0.3,fdr>0.3,thr_nullmax,n_above_nullmax
3,full,13244,0.0336,0.0002,0.5031,0.0189,0.0116,3858,0,0.0,647,0,0.0,100,0,0.0,28,0,0.0,10,0,0.0,0.0189,10190
3,poly2,13244,0.0305,0.0,0.4915,0.019,0.0072,3338,0,0.0,496,0,0.0,68,0,0.0,18,0,0.0,8,0,0.0,0.019,9661
4,full,135751,0.0249,0.0,0.3721,0.021,0.0114,16888,0,0.0,1357,0,0.0,249,0,0.0,44,0,0.0,1,0,0.0,0.021,81090
4,poly2,135751,0.0193,0.0,0.2553,0.0163,0.0043,7891,0,0.0,328,0,0.0,40,0,0.0,14,0,0.0,0,0,,0.0163,80397
5,full,1086008,0.02,0.0,0.5137,0.0289,0.0104,72579,0,0.0,6714,0,0.0,1284,0,0.0,441,0,0.0,77,0,0.0,0.0289,310116
5,poly2,1086008,0.0131,0.0,0.365,0.0159,0.0032,10829,0,0.0,272,0,0.0,47,0,0.0,16,0,0.0,1,0,0.0,0.0159,425400
