order,kind,n,full_space,max_syn,p50,p75,p90,p95,p99,p99.9,n>0.05,dens>0.05,n>0.1,dens>0.1,n>0.15,dens>0.15,n>0.2,dens>0.2
3,full,13244,13244,0.5031,0.0336,0.0546,0.0804,0.0991,0.142,0.2617,3858,0.291302,647,0.048852,100,0.007551,28,0.002114
3,poly2,13244,13244,0.4915,0.0305,0.0502,0.0735,0.0904,0.1329,0.2212,3338,0.252039,496,0.037451,68,0.005134,18,0.001359
4,full,135751,135751,0.3721,0.0249,0.0374,0.0539,0.0671,0.1,0.1705,16888,0.124404,1357,0.009996,249,0.001834,44,0.000324
4,poly2,135751,135751,0.2553,0.0193,0.0293,0.0423,0.0523,0.0766,0.1153,7891,0.058128,328,0.002416,40,0.000295,14,0.000103
5,full,1086008,1086008,0.5137,0.02,0.0308,0.0438,0.0548,0.088,0.158,72579,0.066831,6714,0.006182,1284,0.001182,441,0.000406
5,poly2,1086008,1086008,0.365,0.0131,0.0203,0.0282,0.0344,0.05,0.0773,10829,0.009971,272,0.00025,47,4.3e-05,16,1.5e-05
