alpha,trial,S,true_r2,t_stat,partial_r2,t_pct,t_rank,syn,v_S,max_sub_v,syn_pct,syn_rank
0.1,0,"(np.int64(5), np.int64(17), np.int64(33), np.int64(40))",0.01,1.26,0.0003,68.75,126,0.0,0.0,0.0,3.5,387
0.1,1,"(np.int64(7), np.int64(20), np.int64(22), np.int64(26))",0.01,4.97,0.0054,100.0,1,-0.0021,0.0019,0.0039,8.25,368
0.1,2,"(np.int64(27), np.int64(28), np.int64(38), np.int64(40))",0.01,1.04,0.0002,54.0,185,-0.0056,0.0518,0.0575,7.75,370
0.1,3,"(np.int64(2), np.int64(28), np.int64(29), np.int64(31))",0.01,4.75,0.0048,100.0,1,0.0,0.0,0.0,36.25,256
0.1,4,"(np.int64(3), np.int64(5), np.int64(27), np.int64(31))",0.01,0.13,0.0,9.75,362,-0.0029,0.0257,0.0286,18.5,327
0.1,5,"(np.int64(23), np.int64(32), np.int64(33), np.int64(39))",0.01,1.18,0.0003,64.25,144,-0.0023,0.0004,0.0027,0.25,400
0.2,0,"(np.int64(3), np.int64(12), np.int64(19), np.int64(34))",0.04,10.78,0.0242,100.0,1,-0.0002,0.0021,0.0023,57.75,170
0.2,1,"(np.int64(0), np.int64(9), np.int64(12), np.int64(42))",0.04,12.48,0.0325,100.0,1,0.0007,0.0038,0.0031,99.25,4
0.2,2,"(np.int64(7), np.int64(19), np.int64(20), np.int64(26))",0.04,8.66,0.0157,100.0,1,-0.0018,0.02,0.0217,18.75,326
0.2,3,"(np.int64(6), np.int64(11), np.int64(21), np.int64(26))",0.04,2.73,0.0016,92.75,30,-0.0162,0.0098,0.0261,0.0,401
0.2,4,"(np.int64(8), np.int64(16), np.int64(27), np.int64(41))",0.04,5.93,0.0074,100.0,1,-0.0272,0.0277,0.0548,5.75,378
0.2,5,"(np.int64(4), np.int64(12), np.int64(18), np.int64(39))",0.04,9.33,0.0183,100.0,1,-0.0024,0.0205,0.0228,23.25,308
0.3,0,"(np.int64(4), np.int64(16), np.int64(21), np.int64(42))",0.09,13.77,0.0375,100.0,1,-0.0104,0.0337,0.0441,2.75,390
0.3,1,"(np.int64(7), np.int64(9), np.int64(21), np.int64(24))",0.09,6.54,0.0085,99.75,2,0.0031,0.0349,0.0317,99.5,3
0.3,2,"(np.int64(10), np.int64(14), np.int64(36), np.int64(42))",0.09,13.65,0.0379,100.0,1,-0.0004,0.0344,0.0348,47.0,213
0.3,3,"(np.int64(20), np.int64(23), np.int64(33), np.int64(35))",0.09,10.78,0.0228,100.0,1,-0.0042,0.0038,0.008,6.0,377
0.3,4,"(np.int64(9), np.int64(10), np.int64(32), np.int64(36))",0.09,16.79,0.0559,100.0,1,0.0031,0.0103,0.0072,100.0,1
0.3,5,"(np.int64(1), np.int64(14), np.int64(16), np.int64(41))",0.09,10.07,0.0204,100.0,1,0.002,0.0669,0.0649,99.75,2
0.45,0,"(np.int64(0), np.int64(20), np.int64(21), np.int64(27))",0.2025,4.99,0.0043,89.0,45,0.0007,0.4954,0.4947,76.75,94
0.45,1,"(np.int64(3), np.int64(5), np.int64(24), np.int64(43))",0.2025,13.7,0.0322,100.0,1,-0.0004,0.1017,0.102,66.0,137
0.45,2,"(np.int64(5), np.int64(23), np.int64(29), np.int64(37))",0.2025,0.66,0.0001,21.0,317,-0.0043,0.0233,0.0275,4.75,382
0.45,3,"(np.int64(7), np.int64(19), np.int64(33), np.int64(37))",0.2025,22.14,0.0868,100.0,1,0.0002,0.0504,0.0501,79.75,82
0.45,4,"(np.int64(13), np.int64(22), np.int64(31), np.int64(34))",0.2025,17.17,0.0514,100.0,1,0.0019,0.1594,0.1575,96.25,16
0.45,5,"(np.int64(12), np.int64(13), np.int64(18), np.int64(30))",0.2025,12.13,0.0256,100.0,1,0.0064,0.0741,0.0677,99.5,3
