k,DNN(44->12),gcn_noprior,gcn_static,gcn_dynamic(zero-mask),gcn_dynamic(masked)
1,0.17299461364746094,0.16156457364559174,0.14009664952754974,0.1436685025691986,0.3648408055305481
2,0.2603743374347687,0.2294865995645523,0.2632376253604889,0.2275160551071167,0.45687299966812134
3,0.3080630302429199,0.29898756742477417,0.3465622663497925,0.2510722577571869,0.5721501111984253
4,0.38422906398773193,0.3480762541294098,0.40935322642326355,0.342454731464386,0.634993314743042
5,0.41906240582466125,0.394942969083786,0.4518887400627136,0.4052731990814209,0.6460867524147034
6,0.49851107597351074,0.4538681209087372,0.47592270374298096,0.451072633266449,0.7285350561141968
7,0.4991503357887268,0.5295737385749817,0.522705614566803,0.45884963870048523,0.7659364342689514
8,0.5658767223358154,0.5685718655586243,0.5574063658714294,0.541149914264679,0.7649029493331909
9,0.6296486854553223,0.58160400390625,0.6097049117088318,0.5704783201217651,0.770060122013092
10,0.6502739191055298,0.6171748042106628,0.6230247020721436,0.5982618927955627,0.7740470170974731
11,0.6909871697425842,0.629109263420105,0.6156697273254395,0.6429101824760437,0.7815853953361511
12,0.6695681214332581,0.6693660020828247,0.6333572268486023,0.6763148903846741,0.7820367217063904
13,0.6778561472892761,0.6986196637153625,0.6746301054954529,0.6960954070091248,0.7975144982337952
14,0.6853886842727661,0.7224693894386292,0.7426052093505859,0.727208137512207,0.7990946769714355
15,0.7117893099784851,0.7449600696563721,0.7575745582580566,0.7454736828804016,0.801934003829956
16,0.7518659830093384,0.7581642270088196,0.7712319493293762,0.772484302520752,0.8089901804924011
17,0.7561472654342651,0.7785032987594604,0.7825959920883179,0.7761201858520508,0.8089572191238403
18,0.7713508605957031,0.789604663848877,0.787533164024353,0.7814218997955322,0.8113845586776733
19,0.7833709716796875,0.7988646626472473,0.7987639904022217,0.7961798906326294,0.8256372809410095
20,0.7973178029060364,0.8092429637908936,0.813751220703125,0.8099027872085571,0.8262901902198792
21,0.807026207447052,0.8199528455734253,0.8307790756225586,0.8205041885375977,0.8297093510627747
22,0.8229727149009705,0.8255579471588135,0.8336321115493774,0.8260993361473083,0.8322461247444153
23,0.8327118158340454,0.8386008739471436,0.8381809592247009,0.8299204707145691,0.8370051980018616
24,0.838557243347168,0.8465811014175415,0.8453800082206726,0.8496997952461243,0.8402166962623596
25,0.8389928936958313,0.8514809608459473,0.8499400019645691,0.8548383712768555,0.8415882587432861
26,0.8440550565719604,0.8565528988838196,0.853948712348938,0.8557814955711365,0.8430097103118896
27,0.8440200686454773,0.8637384176254272,0.8545352220535278,0.8604153990745544,0.8429012894630432
28,0.8461763262748718,0.8707279562950134,0.8623653054237366,0.8739415407180786,0.845026969909668
29,0.8604093194007874,0.872187077999115,0.866733193397522,0.8781742453575134,0.845952570438385
30,0.863158643245697,0.8755300045013428,0.8689374923706055,0.878737211227417,0.8482301831245422
31,0.8669854998588562,0.8792581558227539,0.8716351985931396,0.8794683218002319,0.8514460325241089
32,0.8673183917999268,0.8804157972335815,0.8741796016693115,0.8830038905143738,0.8512783646583557
33,0.8684685826301575,0.882062554359436,0.8764047622680664,0.8850871324539185,0.8518107533454895
34,0.8715705871582031,0.883123517036438,0.8768059015274048,0.8857280611991882,0.8521233201026917
35,0.8736018538475037,0.8835204243659973,0.8778975605964661,0.8856997489929199,0.8520869016647339
36,0.8768068552017212,0.8833189606666565,0.8781258463859558,0.8863450288772583,0.8519552946090698
37,0.878426194190979,0.8847585320472717,0.8788115978240967,0.8866696357727051,0.8520871996879578
38,0.8796701431274414,0.8855870962142944,0.8791462779045105,0.886742115020752,0.852292001247406
39,0.8794819116592407,0.885869026184082,0.8792434930801392,0.8867517113685608,0.8524787425994873
40,0.8804076313972473,0.8860732316970825,0.8792739510536194,0.8867316246032715,0.8524197340011597
41,0.8805885314941406,0.8862401843070984,0.8791536092758179,0.8866398930549622,0.852409839630127
42,0.8802877068519592,0.8862125277519226,0.880136251449585,0.8873814940452576,0.8524330854415894
43,0.8805635571479797,0.886158287525177,0.880304217338562,0.8873385787010193,0.8524471521377563
44,0.8818840384483337,0.8861494660377502,0.8807299733161926,0.8873577117919922,0.8519790172576904
