k,DNN(44->12),gcn_noprior,gcn_static,gcn_dynamic(zero-mask),gcn_dynamic(masked)
1,0.2950519621372223,0.2950519621372223,0.2950519621372223,0.2950519621372223,0.3648408055305481
2,0.38603776693344116,0.38603776693344116,0.48988980054855347,0.38603776693344116,0.45687299966812134
3,0.5735251307487488,0.5735251307487488,0.5735251307487488,0.5735251307487488,0.5721501111984253
4,0.6354337334632874,0.5724518299102783,0.5724518299102783,0.5724518299102783,0.634993314743042
5,0.6743998527526855,0.6167917847633362,0.6167917847633362,0.6327148675918579,0.6460867524147034
6,0.6864717602729797,0.6717226505279541,0.6413084864616394,0.6717226505279541,0.7285350561141968
7,0.6887007355690002,0.7590418457984924,0.6922463774681091,0.7590418457984924,0.7659364342689514
8,0.6882762312889099,0.7626965045928955,0.7766762375831604,0.7626965045928955,0.7649029493331909
9,0.7700896263122559,0.7642083168029785,0.7797602415084839,0.7797602415084839,0.770060122013092
10,0.7730928659439087,0.7709003686904907,0.7806559801101685,0.7806559801101685,0.7740470170974731
11,0.780695378780365,0.7847165465354919,0.7856985330581665,0.786586344242096,0.7815853953361511
12,0.7969950437545776,0.7914499044418335,0.7921187281608582,0.7914499044418335,0.7820367217063904
13,0.7977012395858765,0.8055276870727539,0.8063191771507263,0.7938673496246338,0.7975144982337952
14,0.7991632223129272,0.8073810935020447,0.8121088743209839,0.7934374809265137,0.7990946769714355
15,0.7996801137924194,0.814084529876709,0.8162837624549866,0.8072531223297119,0.801934003829956
16,0.8052052855491638,0.8146684765815735,0.8178299069404602,0.8140177726745605,0.8089901804924011
17,0.8107045292854309,0.8159346580505371,0.81816166639328,0.8182806968688965,0.8089572191238403
18,0.8245458006858826,0.8202198147773743,0.8210955262184143,0.8229728937149048,0.8113845586776733
19,0.8293100595474243,0.8207075595855713,0.824944019317627,0.8244720101356506,0.8256372809410095
20,0.8309236764907837,0.8218655586242676,0.826874852180481,0.8319425582885742,0.8262901902198792
21,0.8343941569328308,0.8290754556655884,0.8340014815330505,0.833160936832428,0.8297093510627747
22,0.835780680179596,0.8305140137672424,0.8377755284309387,0.8346002101898193,0.8322461247444153
23,0.8412594795227051,0.834253191947937,0.8388838171958923,0.8355343341827393,0.8370051980018616
24,0.8416682481765747,0.8363186120986938,0.8446053266525269,0.8368228077888489,0.8402166962623596
25,0.8426113724708557,0.8393094539642334,0.8467390537261963,0.8390201926231384,0.8415882587432861
26,0.8432261943817139,0.842778742313385,0.8476192951202393,0.8436770439147949,0.8430097103118896
27,0.8445806503295898,0.8469313383102417,0.8480994701385498,0.8461602926254272,0.8429012894630432
28,0.8478448987007141,0.848815381526947,0.8483185768127441,0.8466286659240723,0.845026969909668
29,0.8493795394897461,0.849190890789032,0.8505116701126099,0.8483172059059143,0.845952570438385
30,0.8506065011024475,0.8514803051948547,0.8505034446716309,0.8482540249824524,0.8482301831245422
31,0.8509661555290222,0.8510743379592896,0.8501173257827759,0.8480556011199951,0.8514460325241089
32,0.8516828417778015,0.8509402871131897,0.8499096632003784,0.849522054195404,0.8512783646583557
33,0.8512287139892578,0.8507004976272583,0.8510497212409973,0.849869966506958,0.8518107533454895
34,0.8508485555648804,0.8504766821861267,0.8512074947357178,0.8497890830039978,0.8521233201026917
35,0.8507122993469238,0.850634753704071,0.851529598236084,0.8498321175575256,0.8520869016647339
36,0.8508374691009521,0.8505708575248718,0.8515572547912598,0.8516378402709961,0.8519552946090698
37,0.8508681058883667,0.8514478802680969,0.8515464067459106,0.8520871996879578,0.8520871996879578
38,0.8508908748626709,0.8520259261131287,0.8517376184463501,0.852292001247406,0.852292001247406
39,0.8508506417274475,0.8515505790710449,0.8517581224441528,0.8523050546646118,0.8524787425994873
40,0.8511002063751221,0.851751983165741,0.851678192615509,0.8523194193840027,0.8524197340011597
41,0.8519309163093567,0.851966142654419,0.8516761064529419,0.8523067235946655,0.852409839630127
42,0.851897656917572,0.8519900441169739,0.852245032787323,0.8518252968788147,0.8524330854415894
43,0.8517594933509827,0.852013885974884,0.8524471521377563,0.8517594933509827,0.8524471521377563
44,0.8519790172576904,0.8519790172576904,0.8519790172576904,0.8519790172576904,0.8519790172576904
