k,DNN(44->12),gcn_noprior,gcn_static,gcn_dynamic(zero-mask),gcn_dynamic(masked)
1,0.2788119316101074,0.2788119316101074,0.2788119316101074,0.2788119316101074,0.33522096276283264
2,0.3605952560901642,0.3605952560901642,0.4583343267440796,0.3605952560901642,0.4573405683040619
3,0.533470094203949,0.533470094203949,0.533470094203949,0.533470094203949,0.532379686832428
4,0.5986962914466858,0.5327500104904175,0.5327500104904175,0.5986962914466858,0.5985060334205627
5,0.6427966952323914,0.5829465389251709,0.5829465389251709,0.5960379242897034,0.6426123380661011
6,0.6550332903862,0.6400815844535828,0.6134629249572754,0.6400815844535828,0.6540420055389404
7,0.6573713421821594,0.7222859859466553,0.6663212180137634,0.7222859859466553,0.729910135269165
8,0.6566349864006042,0.726414144039154,0.745028555393219,0.726414144039154,0.7289184927940369
9,0.7334389686584473,0.7282817363739014,0.7484686374664307,0.7484686374664307,0.7343335151672363
10,0.7366915345191956,0.7353816628456116,0.7496587634086609,0.7496587634086609,0.7556135654449463
11,0.7610117793083191,0.7536089420318604,0.7542082667350769,0.7560696005821228,0.759996235370636
12,0.7677700519561768,0.7533791661262512,0.7607991099357605,0.7609837055206299,0.7664828300476074
13,0.7678158283233643,0.7670827507972717,0.7762360572814941,0.7635877132415771,0.7688865065574646
14,0.7696678042411804,0.7783774733543396,0.7828541398048401,0.7634198665618896,0.7724940180778503
15,0.7694883346557617,0.7785775065422058,0.7872495055198669,0.7785775065422058,0.7730324268341064
16,0.7790231108665466,0.7852103114128113,0.7887263894081116,0.7852103114128113,0.7820597290992737
17,0.783894956111908,0.7876154780387878,0.7891098856925964,0.7894508242607117,0.7821142077445984
18,0.798907995223999,0.7923324108123779,0.7923157215118408,0.7946178913116455,0.7977775931358337
19,0.8040325045585632,0.7930583953857422,0.7952265739440918,0.7966229915618896,0.8005204796791077
20,0.806140124797821,0.7943665981292725,0.7991880774497986,0.8062306046485901,0.8007493615150452
21,0.8103111386299133,0.8034558296203613,0.8083608150482178,0.8076231479644775,0.8051903247833252
22,0.811749279499054,0.8049715161323547,0.8134198188781738,0.809253990650177,0.810823380947113
23,0.8180973529815674,0.8097636103630066,0.8145374655723572,0.8103931546211243,0.8133453726768494
24,0.8185967803001404,0.8123134970664978,0.8178165555000305,0.8118051886558533,0.8167076110839844
25,0.8196315169334412,0.8160836100578308,0.8239831328392029,0.8141505122184753,0.8183287978172302
26,0.8206655383110046,0.8195569515228271,0.8248951435089111,0.8173628449440002,0.8197765350341797
27,0.8221461176872253,0.8242129683494568,0.8256313800811768,0.822479784488678,0.8222622871398926
28,0.8254193663597107,0.8262252807617188,0.8258913159370422,0.823085367679596,0.8221771121025085
29,0.8265306353569031,0.8287441730499268,0.8283907771110535,0.8253192901611328,0.8234080672264099
30,0.8271707892417908,0.8294140696525574,0.8298181891441345,0.8253240585327148,0.8261820673942566
31,0.8279384970664978,0.829258143901825,0.8297688961029053,0.8258082270622253,0.8293926119804382
32,0.8298097252845764,0.8288154602050781,0.8294179439544678,0.8256707191467285,0.8300431370735168
33,0.8293306827545166,0.8285652995109558,0.8292484879493713,0.8275560736656189,0.8305251002311707
34,0.8288764357566833,0.8283200263977051,0.8293342590332031,0.8274877667427063,0.8303561806678772
35,0.8287437558174133,0.8284080028533936,0.8297808170318604,0.8297029137611389,0.8303403258323669
36,0.8288054466247559,0.8295057415962219,0.8298121094703674,0.829703152179718,0.8302133679389954
37,0.828840970993042,0.8294426798820496,0.8298341631889343,0.8302897810935974,0.8302897810935974
38,0.8288667798042297,0.8302289843559265,0.829854428768158,0.8305197358131409,0.8305197358131409
39,0.828822672367096,0.8296567797660828,0.8300492763519287,0.8305332660675049,0.8306984305381775
40,0.8291044235229492,0.8298566937446594,0.8299666047096252,0.8305482864379883,0.8306404948234558
41,0.8290610909461975,0.8300994038581848,0.8304557204246521,0.8305332660675049,0.8306279182434082
42,0.830027163028717,0.8301264643669128,0.8304408192634583,0.8299540877342224,0.8306525349617004
43,0.8298872113227844,0.8301536440849304,0.8306681513786316,0.8298872113227844,0.8306681513786316
44,0.8301070332527161,0.8301070332527161,0.8301070332527161,0.8301070332527161,0.8301070332527161
