general_field,shapley_old,shapley_new,single_old,single_new
gen_fuel_coal_mw,0.02208374180656392,0.031358904084190724,0.01065902877599001,0.28379568457603455
gen_fuel_gas_mw,0.033950814464769795,0.04741075053811073,0.009290446527302265,0.31494519114494324
gen_fuel_hydro_mw,0.003437200148764532,0.012481015995144845,0.0001221207930939272,0.10809313505887985
gen_fuel_multiple_fuels_mw,0.010229272237047553,0.010061277598142624,0.004982460755854845,0.090437151491642
gen_fuel_nuclear_mw,0.0653722611349076,0.05543528169393539,0.03602759912610054,0.20073649287223816
gen_fuel_oil_mw,0.009186017439642456,0.022403375655412675,0.0020170575007796288,0.24372872710227966
gen_fuel_other_renewables_mw,0.0051262726401910185,0.007613761675311252,0.00026015660841949284,0.03437628597021103
gen_fuel_solar_mw,0.0007187418569810689,0.0033686211705207824,0.000310735049424693,0.01317605935037136
gen_fuel_storage_mw,0.0011584536079317332,0.002559545338153839,0.0,0.027008259668946266
gen_fuel_wind_mw,0.012310853923554532,0.003903073268011212,0.0,0.00396936247125268
gen_fuel_coal_pct,0.017226720806211234,0.015852861255407334,0.009728838689625263,0.16897010803222656
gen_fuel_gas_pct,0.001269749346538447,0.013951521394774317,0.0,0.0757906436920166
gen_fuel_hydro_pct,0.001598616004921496,0.006778024435043335,8.098755643004552e-05,0.04171574115753174
gen_fuel_multiple_fuels_pct,0.005030604384373873,0.011103787869215011,0.003796694800257683,0.04489459469914436
gen_fuel_nuclear_pct,0.015115902684628963,0.03300291531253606,0.005214559379965067,0.2835828363895416
gen_fuel_oil_pct,0.006727698715403676,0.02771067261695862,0.000999844865873456,0.2104586958885193
gen_fuel_other_renewables_pct,0.003785338415764272,0.013251581192016602,0.0009804742876440287,0.13467471301555634
gen_fuel_solar_pct,0.0008181873842841015,0.004406697414815426,0.0006533769192174077,0.02099602483212948
gen_fuel_wind_pct,0.0023259799857623877,0.0034690935164690016,0.0008485924336127937,0.021738091483712196
forecast_load_mw_latest_available,0.07458525813184678,0.04126061394810677,0.052343882620334625,0.3674076199531555
forecast_load_mw_day_ahead,0.06730657869949937,0.06953793242573739,0.04803933948278427,0.3648408055305481
rmccp,0.002191319229787041,0.0033718365067034028,0.0,0.03751983866095543
rmpcp,-7.074753055348993e-05,0.0005801183078438044,8.004563278518617e-05,0.003809921909123659
total_pjm_loc_credit,1.7762375937309115e-05,-0.00019328666850924493,0.0002529962221160531,0.008951754309237003
total_pjm_reg_purchases,0.0031592232291586695,0.00657497838139534,0.003847702406346798,0.03506004810333252
total_pjm_self_sched_reg,-5.500759929418564e-05,0.000393826822983101,0.00010153089533559978,0.000573767872992903
total_pjm_assigned_reg,0.0014030909864231945,0.002900475114583969,0.00010568540164967999,0.017740454524755478
total_pjm_rmccp_cr,0.001267289168899879,0.005085027664899826,0.0,0.03935101628303528
total_pjm_rmpcp_cr,0.0008506586933799554,0.0013073796103708446,8.551184146199375e-05,0.006627548485994339
da_as_mcp_primary_reserve,0.008088166071102023,0.018814811762422324,0.0016710057388991117,0.15237288177013397
da_as_mcp_synchronized_reserve,0.004959946168819443,0.023286919854581357,0.0016562787350267172,0.16106128692626953
da_as_as_req_mw_primary_reserve,0.04628562634810805,0.03874058276414871,0.023224901407957077,0.16192761063575745
da_as_as_req_mw_synchronized_reserve,0.046507519781589506,0.028174427151679993,0.023233987390995026,0.1614232361316681
da_as_as_req_mw_thirty_minutes_reserve,0.036411164369783366,0.04422029979992658,0.014582937583327293,0.15593266487121582
da_as_ss_mw_primary_reserve,0.00016937440261244774,0.0005828238185495139,0.0,0.001827511703595519
da_as_ss_mw_synchronized_reserve,8.44474842233467e-05,6.899159314343705e-05,2.7591941034188494e-06,0.0001381765614496544
da_as_ss_mw_thirty_minutes_reserve,0.00011349551379680634,3.269314765930176e-05,0.0,0.00015277526108548045
da_as_nsr_mw_primary_reserve,0.09152446132022306,0.06613436155952514,0.07638785243034363,0.1010637879371643
system_energy_price_da,0.1641453190217726,0.06062763694673776,0.1436685025691986,0.2950519621372223
total_lmp_rt,0.016258541494607925,0.024673506915569306,0.014230689033865929,0.19717587530612946
marginal_loss_price_rt,0.03816738250665366,0.027863875031471252,0.012405291199684143,0.21347293257713318
net_inadv_interchange_mw,2.4085142649710177e-05,0.000175894929561764,0.0,0.0006827368633821607
gross_sched_interchange_mw,0.01560325439553708,0.01881029635667801,0.009227837435901165,0.05222789943218231
gross_inadv_interchange_mw,0.05088707539718598,0.04283023148775101,0.04868990182876587,0.13496609032154083
