k,single,mask,shapley,ig,lrp,gate,random
1,0.3674076199531555,0.1010637879371643,0.3648408055305481,0.3674076199531555,0.3674076199531555,0.20073649287223816,0.017740454524755478
2,0.3609367907047272,0.2328644096851349,0.45687299966812134,0.3609367907047272,0.48988980054855347,0.40375036001205444,0.05103917419910431
3,0.3799993097782135,0.46944916248321533,0.5721501111984253,0.48924171924591064,0.5628888010978699,0.4694894552230835,0.05445089191198349
4,0.5182992219924927,0.49219393730163574,0.634993314743042,0.5724518299102783,0.559849739074707,0.46466588973999023,0.3138248026371002
5,0.5291505455970764,0.6258741617202759,0.6460867524147034,0.6327148675918579,0.6327148675918579,0.5562560558319092,0.34215402603149414
6,0.5389620065689087,0.6409661173820496,0.7285350561141968,0.6717226505279541,0.7217743992805481,0.5619637370109558,0.4336984157562256
7,0.5416944026947021,0.6859313249588013,0.7659364342689514,0.7590418457984924,0.7247495055198669,0.5618724822998047,0.46612808108329773
8,0.5659580230712891,0.6928179860115051,0.7649029493331909,0.7626965045928955,0.7626965045928955,0.5724045038223267,0.47024136781692505
9,0.5677188634872437,0.7038547992706299,0.770060122013092,0.7642083168029785,0.7642083168029785,0.6642588376998901,0.5492724776268005
10,0.6076701879501343,0.7092040181159973,0.7740470170974731,0.7806559801101685,0.7806559801101685,0.6664908528327942,0.6427797675132751
11,0.6113291382789612,0.7273285388946533,0.7815853953361511,0.7847165465354919,0.786586344242096,0.6712741851806641,0.6601921916007996
12,0.614108145236969,0.7297052145004272,0.7820367217063904,0.7869521379470825,0.7914499044418335,0.6894099712371826,0.6649830937385559
13,0.6891981959342957,0.7350717782974243,0.7975144982337952,0.7930364608764648,0.8055276870727539,0.7206579446792603,0.7465736269950867
14,0.692309558391571,0.7438087463378906,0.7990946769714355,0.797844648361206,0.8121088743209839,0.7240690588951111,0.7478169798851013
15,0.7043718099594116,0.7482877373695374,0.801934003829956,0.8036960959434509,0.8140538334846497,0.7304155826568604,0.7482348680496216
16,0.7048611044883728,0.7487908601760864,0.8089901804924011,0.8185968399047852,0.8140177726745605,0.746439516544342,0.7485486268997192
